SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME
2261502;PB;Nordeste;EMAP;False
2286904;MG;Sudeste;EMAD I;False
2286912;MG;Sudeste;EMAP;True
2286890;AM;Norte;EMAP;True
2492946;RO;Norte;EMAP;True
1527339;SP;Sudeste;EMAD I;False
1562436;GO;Centro-Oeste;EMAD II;True
1562444;GO;Centro-Oeste;EMAP;True
1522981;PI;Nordeste;EMAD II;True
1523074;PI;Nordeste;EMAP;True
367907;SP;Sudeste;EMAP;True
1707086;CE;Nordeste;EMAD I;False
1711733;CE;Nordeste;EMAP;True
1643428;BA;Nordeste;EMAD I;True
1698311;GO;Centro-Oeste;EMAP;True
1564536;MG;Sudeste;EMAD II;True
1548344;MG;Sudeste;EMAP;True
1672533;PA;Norte;EMAD I;False
1697595;SP;Sudeste;EMAD I;False
1548646;CE;Nordeste;EMAD II;True
2192500;SP;Sudeste;EMAD I;True
2192594;SP;Sudeste;EMAP;True
277231;MG;Sudeste;EMAP;True
210137;BA;Nordeste;EMAD I;False
1674560;PB;Nordeste;EMAP;True
1674552;PB;Nordeste;EMAD I;True
1677489;RN;Nordeste;EMAD II;True
1616161;SP;Sudeste;EMAD II;True
1480162;CE;Nordeste;EMAD I;True
1521705;PE;Nordeste;EMAD I;False
1616676;GO;Centro-Oeste;EMAP;False
1616668;GO;Centro-Oeste;EMAD I;False
1589326;PA;Norte;EMAD I;False
1541544;MG;Sudeste;EMAD II;False
1541552;MG;Sudeste;EMAP;False
454710;GO;Centro-Oeste;EMAD I;True
454745;GO;Centro-Oeste;EMAD I;False
454737;GO;Centro-Oeste;EMAD I;False
454729;GO;Centro-Oeste;EMAP;True
2156202;SP;Sudeste;EMAD I;False
189901;BA;Nordeste;EMAD I;True
189898;BA;Nordeste;EMAP;True
2153939;MA;Nordeste;EMAP;False
1511378;RN;Nordeste;EMAD I;True
109223;RN;Nordeste;EMAP;True
1685732;CE;Nordeste;EMAD II;True
1697641;CE;Nordeste;EMAD II;True
1697668;CE;Nordeste;EMAP;True
2058855;ES;Sudeste;EMAP;True
1656678;MG;Sudeste;EMAP;True
1517139;GO;Centro-Oeste;EMAD I;False
1517120;GO;Centro-Oeste;EMAP;True
1696076;BA;Nordeste;EMAD I;True
1618083;SE;Nordeste;EMAP;True
1618075;SE;Nordeste;EMAD I;True
349127;SP;Sudeste;EMAD I;True
349119;SP;Sudeste;EMAP;True
1705016;PB;Nordeste;EMAD I;True
1705040;PB;Nordeste;EMAP;True
1671774;RJ;Sudeste;EMAD I;False
1671782;RJ;Sudeste;EMAD I;True
1672150;RJ;Sudeste;EMAD I;True
2255766;SP;Sudeste;EMAD I;True
2255758;SP;Sudeste;EMAP;True
2255847;PI;Nordeste;EMAD II;True
1485865;SP;Sudeste;EMAD I;False
2255855;PI;Nordeste;EMAP;True
2247941;MG;Sudeste;EMAD I;True
1712144;CE;Nordeste;EMAD I;False
1698656;BA;Nordeste;EMAD II;False
1698664;BA;Nordeste;EMAP;True
1589768;BA;Nordeste;EMAD I;True
1512676;TO;Norte;EMAD I;True
1504444;AL;Nordeste;EMAD I;False
1504452;AL;Nordeste;EMAP;True
1535331;GO;Centro-Oeste;EMAD II;False
1616072;SP;Sudeste;EMAD I;True
1616129;SP;Sudeste;EMAP;True
1477455;SP;Sudeste;EMAD I;True
1477463;SP;Sudeste;EMAP;True
1606271;SP;Sudeste;EMAD I;False
382736;PR;Sul;EMAD I;False
473456;PR;Sul;EMAP;True
1709674;PR;Sul;EMAD I;True
473480;PR;Sul;EMAD I;False
2198215;PA;Norte;EMAD I;True
2184028;PA;Norte;EMAP;True
1675354;AL;Nordeste;EMAD II;True
1704575;AL;Nordeste;EMAP;True
2129760;MS;Centro-Oeste;EMAD II;False
1543334;PE;Nordeste;EMAD II;False
1543342;PE;Nordeste;EMAP;True
2491052;PI;Nordeste;EMAP-R;False
2489317;PB;Nordeste;EMAP-R;False
2287587;CE;Nordeste;EMAP;False
1677144;PB;Nordeste;EMAD II;True
1677152;PB;Nordeste;EMAP;True
1614878;AM;Norte;EMAD I;True
1503804;GO;Centro-Oeste;EMAD II;True
1503790;GO;Centro-Oeste;EMAP;True
2230518;PA;Norte;EMAD I;False
2230623;PA;Norte;EMAP;True
2241498;PR;Sul;EMAD II;True
2241501;PR;Sul;EMAP;True
2240548;BA;Nordeste;EMAD I;False
2244527;SE;Nordeste;EMAP;True
2244535;SE;Nordeste;EMAD II;True
2244101;BA;Nordeste;EMAD II;True
2244047;BA;Nordeste;EMAP;True
2152401;MS;Centro-Oeste;EMAD I;False
2236133;RS;Sul;EMAD I;True
2166585;GO;Centro-Oeste;EMAD II;True
1619934;SP;Sudeste;EMAD I;False
140031;PE;Nordeste;EMAP;True
1509276;SP;Sudeste;EMAD I;False
1526243;PR;Sul;EMAD I;False
1536141;PR;Sul;EMAP;True
1657089;GO;Centro-Oeste;EMAD I;True
334839;SP;Sudeste;EMAD I;False
334847;SP;Sudeste;EMAP;True
1524364;AM;Norte;EMAP;True
1524372;AM;Norte;EMAD I;True
1696505;PA;Norte;EMAP;True
1571400;SP;Sudeste;EMAD II;True
1708511;PE;Nordeste;EMAD I;True
1657097;GO;Centro-Oeste;EMAD I;True
1657100;GO;Centro-Oeste;EMAP;True
2178915;SP;Sudeste;EMAD I;False
2495120;PI;Nordeste;EMAP-R;True
2508184;PB;Nordeste;EMAP-R;True
2531666;PR;Sul;EMAD II;False
2531674;PR;Sul;EMAP;False
2536374;PI;Nordeste;EMAP-R;True
2528533;SP;Sudeste;EMAD II;True
2534746;MG;Sudeste;EMAD II;True
2534754;MG;Sudeste;EMAP;True
2528878;AL;Nordeste;EMAP-R;True
2524732;BA;Nordeste;EMAP-R;False
2524678;PB;Nordeste;EMAP-R;True
2525879;MA;Nordeste;EMAD I;True
2527499;MA;Nordeste;EMAP;True
1711113;SP;Sudeste;EMAP;True
1711105;SP;Sudeste;EMAD I;True
2494035;RJ;Sudeste;EMAP-R;True
2451824;MG;Sudeste;EMAP;True
2505010;MA;Nordeste;EMAP;True
2510375;RN;Nordeste;EMAP;True
2520400;SE;Nordeste;EMAP-R;True
2522470;MA;Nordeste;EMAD I;True
2500078;PB;Nordeste;EMAP-R;False
2469413;CE;Nordeste;EMAD II;False
2418614;AM;Norte;EMAD I;True
2418622;AM;Norte;EMAD I;True
469556;DF;Centro-Oeste;EMAD I;False
2526263;RR;Norte;EMAD I;False
2526522;PE;Nordeste;EMAD II;True
2504464;SP;Sudeste;EMAP;True
2512688;PB;Nordeste;EMAP-R;True
2522691;RS;Sul;EMAD I;True
2330806;CE;Nordeste;EMAD II;True
2330822;CE;Nordeste;EMAP;False
2485907;PI;Nordeste;EMAP-R;False
1671618;AL;Nordeste;EMAD II;True
1549855;SP;Sudeste;EMAD I;False
2462877;MT;Centro-Oeste;EMAP;True
2523841;PA;Norte;EMAD I;True
2523868;PA;Norte;EMAP;True
2507889;RJ;Sudeste;EMAD II;True
224642;MG;Sudeste;EMAD I;False
2487705;PI;Nordeste;EMAP-R;False
2513218;MA;Nordeste;EMAD I;True
2538938;CE;Nordeste;EMAP-R;False
1715992;PA;Norte;EMAD I;False
1716018;PA;Norte;EMAP;True
2316358;PA;Norte;EMAD I;False
2457512;BA;Nordeste;EMAD II;True
2246600;MG;Sudeste;EMAD II;True
2499959;PI;Nordeste;EMAP-R;True
2492121;PB;Nordeste;EMAP-R;True
2445964;AM;Norte;EMAD I;True
2487969;PI;Nordeste;EMAP-R;True
2488418;BA;Nordeste;EMAD II;True
2488426;BA;Nordeste;EMAP;False
2513269;PA;Norte;EMAP-R;True
1487582;GO;Centro-Oeste;EMAP;True
1487590;GO;Centro-Oeste;EMAD I;False
2529386;MG;Sudeste;EMAP-R;True
2500019;PB;Nordeste;EMAP-R;True
2536188;AL;Nordeste;EMAP-R;True
2519356;BA;Nordeste;EMAD I;False
2519364;BA;Nordeste;EMAP;True
2510340;PB;Nordeste;EMAP-R;True
2533618;BA;Nordeste;EMAP;False
2528525;SC;Sul;EMAD II;True
2520656;CE;Nordeste;EMAD I;True
2534924;CE;Nordeste;EMAP;True
2510995;PB;Nordeste;EMAP;True
2504480;PR;Sul;EMAP-R;True
2518023;MG;Sudeste;EMAD II;False
