CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
290030;BA;1;EMAP-R;Acajutiba
290035;BA;1;EMAP-R;Adustina
290070;BA;2;EMAD I, EMAP;Alagoinhas
290100;BA;2;EMAD II, EMAP;Amargosa
290120;BA;2;EMAD II, EMAP;Anagé
290220;BA;1;EMAP-R;Aramari
290240;BA;2;EMAD II, EMAP;Aurelino Leal
290260;BA;1;EMAP-R;Baixa Grande
290265;BA;1;EMAP-R;Banzaê
290310;BA;1;EMAP-R;Barra do Rocha
290320;BA;3;EMAD I, EMAP;Barreiras
290327;BA;1;EMAP-R;Barrocas
290340;BA;1;EMAD II;Belmonte
290390;BA;2;EMAD I, EMAP;Bom Jesus da Lapa
290410;BA;2;EMAD II, EMAP;Boquira
290460;BA;2;EMAD I, EMAP;Brumado
290470;BA;2;EMAD II, EMAP;Buerarema
290520;BA;2;EMAD I, EMAP;Caetité
290560;BA;2;EMAD II, EMAP;Camacan
290570;BA;4;EMAD I, EMAP;Camaçari
290580;BA;2;EMAD II, EMAP;Camamu
290590;BA;2;EMAD II, EMAP;Campo Alegre de Lourdes
290600;BA;2;EMAD I, EMAP;Campo Formoso
290650;BA;2;EMAD I, EMAP;Candeias
290680;BA;1;EMAD II;Cansanção
290687;BA;2;EMAD II, EMAP;Capim Grosso
290690;BA;1;EMAD II;Caravelas
290750;BA;2;EMAD I, EMAP;Catu
290790;BA;1;EMAP-R;Cipó
290800;BA;1;EMAD II;Coaraci
290820;BA;2;EMAD II, EMAP;Conceição da Feira
290830;BA;1;EMAP-R;Conceição do Almeida
290840;BA;2;EMAD I, EMAP;Conceição do Coité
290850;BA;2;EMAD II, EMAP;Conceição do Jacuípe
290890;BA;2;EMAD II, EMAP;Coração de Maria
290930;BA;2;EMAD II, EMAP;Correntina
290960;BA;2;EMAD II, EMAP;Crisópolis
290980;BA;2;EMAD I, EMAP;Cruz das Almas
291005;BA;2;EMAD I, EMAP;Dias d'Ávila
291010;BA;2;EMAD II, EMAP;Dom Basílio
291050;BA;2;EMAD I, EMAP;Entre Rios
291060;BA;2;EMAD II, EMAP;Esplanada
291070;BA;2;EMAD I, EMAP;Euclides da Cunha
291072;BA;2;EMAD I, EMAP;Eunápolis
291080;BA;3;EMAD I, EMAP;Feira de Santana
291120;BA;2;EMAD II, EMAP;Gandu
291160;BA;2;EMAD II, EMAP;Governador Mangabeira
291170;BA;2;EMAD I, EMAP;Guanambi
291185;BA;1;EMAP-R;Heliópolis
291210;BA;1;EMAD II;Ibicaraí
291270;BA;2;EMAD II, EMAP;Ibirapitanga
291320;BA;2;EMAD II, EMAP;Ibotirama
291360;BA;3;EMAD I, EMAP;Ilhéus
291370;BA;2;EMAD I, EMAP;Inhambupe
291400;BA;2;EMAD I, EMAP;Ipirá
291450;BA;2;EMAD II, EMAP;Irará
291465;BA;2;EMAD II, EMAP;Itabela
291470;BA;2;EMAD I, EMAP;Itaberaba
291480;BA;3;EMAD I, EMAP;Itabuna
291490;BA;2;EMAD II, EMAP;Itacaré
291560;BA;2;EMAD I, EMAP;Itamaraju
291580;BA;2;EMAD II, EMAP;Itambé
291600;BA;2;EMAD II, EMAP;Itanhém
291610;BA;2;EMAD II, EMAP;Itaparica
291700;BA;2;EMAD II, EMAP;Itiúba
291710;BA;2;EMAD II, EMAP;Itororó
291760;BA;2;EMAD I, EMAP;Jaguaquara
291770;BA;2;EMAD II, EMAP;Jaguarari
291800;BA;2;EMAD I, EMAP;Jequié
291810;BA;2;EMAD I, EMAP;Jeremoabo
291840;BA;2;EMAD I, EMAP;Juazeiro
291860;BA;2;EMAD II, EMAP;Jussiape
291910;BA;1;EMAP-R;Lamarão
291920;BA;2;EMAD I, EMAP;Lauro de Freitas
291950;BA;2;EMAD I, EMAP;Livramento de Nossa Senhora
291955;BA;1;EMAD I;Luís Eduardo Magalhães
291980;BA;2;EMAD I, EMAP;Macaúbas
292010;BA;2;EMAD II, EMAP;Mairi
292050;BA;2;EMAD II, EMAP;Maracás
292060;BA;1;EMAD I;Maragogipe
292100;BA;2;EMAD I, EMAP;Mata de São João
292110;BA;2;EMAD II, EMAP;Medeiros Neto
292120;BA;2;EMAD II, EMAP;Miguel Calmon
292170;BA;1;EMAD II;Morro do Chapéu
292200;BA;2;EMAD I, EMAP;Mucuri
292210;BA;1;EMAD II;Mundo Novo
292220;BA;1;EMAP;Muniz Ferreira
292230;BA;1;EMAD II;Muritiba
292290;BA;2;EMAD II, EMAP;Nova Soure
292300;BA;2;EMAD I, EMAP;Nova Viçosa
292310;BA;2;EMAD II, EMAP;Olindina
292320;BA;1;EMAD II;Oliveira dos Brejinhos
292360;BA;2;EMAD II, EMAP;Paramirim
