SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1707086;CE;Nordeste;EMAD I;False;230760
1711733;CE;Nordeste;EMAP;True;230760
1548646;CE;Nordeste;EMAD II;True;231070
1480162;CE;Nordeste;EMAD I;True;230523
1685732;CE;Nordeste;EMAD II;True;230495
1697641;CE;Nordeste;EMAD II;True;230945
1697668;CE;Nordeste;EMAP;True;230945
1712144;CE;Nordeste;EMAD I;False;230655
2287587;CE;Nordeste;EMAP;False;231020
2469413;CE;Nordeste;EMAD II;False;231126
2330806;CE;Nordeste;EMAD II;True;230930
2330822;CE;Nordeste;EMAP;False;230930
2538938;CE;Nordeste;EMAP-R;False;230533
2520656;CE;Nordeste;EMAD I;True;230500
2534924;CE;Nordeste;EMAP;True;230500
2510782;CE;Nordeste;EMAD II;True;230660
2496496;CE;Nordeste;EMAP-R;False;230860
1619241;CE;Nordeste;EMAD I;False;230960
1619268;CE;Nordeste;EMAP;True;230960
2377756;CE;Nordeste;EMAD I;False;230470
2476991;CE;Nordeste;EMAD I;False;231340
1524992;CE;Nordeste;EMAD I;False;231410
1525026;CE;Nordeste;EMAP;True;231410
2503689;CE;Nordeste;EMAD II;False;230740
2489090;CE;Nordeste;EMAP;True;231126
1700693;CE;Nordeste;EMAD I;False;230440
2527669;CE;Nordeste;EMAD II;True;230780
2527677;CE;Nordeste;EMAP;True;230780
1638785;CE;Nordeste;EMAD I;True;230640
1652214;CE;Nordeste;EMAP;True;230640
1601466;CE;Nordeste;EMAD II;True;230210
1620193;CE;Nordeste;EMAD I;False;230110
1620290;CE;Nordeste;EMAP;True;230110
2282151;CE;Nordeste;EMAD II;True;230230
2282178;CE;Nordeste;EMAP;False;230230
2257491;CE;Nordeste;EMAP;False;231350
2229609;CE;Nordeste;EMAD I;False;230250
1710893;CE;Nordeste;EMAD I;False;230440
1710907;CE;Nordeste;EMAP;True;230440
1700626;CE;Nordeste;EMAD I;False;230440
1700634;CE;Nordeste;EMAD I;False;230440
2279371;CE;Nordeste;EMAD II;True;230320
1688081;CE;Nordeste;EMAP;True;230220
1688073;CE;Nordeste;EMAD I;False;230220
1616382;CE;Nordeste;EMAD I;True;230020
1618903;CE;Nordeste;EMAP;True;230020
2244063;CE;Nordeste;EMAD II;True;230610
2159864;CE;Nordeste;EMAD II;True;230950
1505173;CE;Nordeste;EMAD I;False;230630
1505211;CE;Nordeste;EMAP;True;230630
2496488;CE;Nordeste;EMAD II;True;230940
1548654;CE;Nordeste;EMAP;False;231070
2513293;CE;Nordeste;EMAD II;True;230750
2522799;CE;Nordeste;EMAD I;True;231330
1700588;CE;Nordeste;EMAD I;False;230440
1700596;CE;Nordeste;EMAD I;False;230440
1710796;CE;Nordeste;EMAD I;False;230440
1710826;CE;Nordeste;EMAD I;False;230440
1710850;CE;Nordeste;EMAD I;False;230440
2486059;CE;Nordeste;EMAP-R;False;231100
2532751;CE;Nordeste;EMAP-R;True;230365
1700618;CE;Nordeste;EMAD I;False;230440
1710885;CE;Nordeste;EMAD I;False;230440
1700642;CE;Nordeste;EMAD I;False;230440
1700650;CE;Nordeste;EMAD I;False;230440
1700669;CE;Nordeste;EMAD I;False;230440
2324490;CE;Nordeste;EMAD I;False;230540
2324504;CE;Nordeste;EMAP;True;230540
2369311;CE;Nordeste;EMAD II;True;230710
2171783;CE;Nordeste;EMAP;True;230950
2476916;CE;Nordeste;EMAD I;True;231050
2476924;CE;Nordeste;EMAP;True;231050
2472929;CE;Nordeste;EMAP-R;False;230125
1700723;CE;Nordeste;EMAD I;False;230440
1710877;CE;Nordeste;EMAD I;False;230440
2293870;CE;Nordeste;EMAP;True;231180
1710818;CE;Nordeste;EMAD I;False;230440
1710842;CE;Nordeste;EMAD I;False;230440
