SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
469556;DF;Centro-Oeste;EMAD I;False;530010
471461;DF;Centro-Oeste;EMAD I;True;530010
1584413;DF;Centro-Oeste;EMAD I;True;530010
470899;DF;Centro-Oeste;EMAD I;True;530010
1520555;DF;Centro-Oeste;EMAP;True;530010
1569945;DF;Centro-Oeste;EMAP;True;530010
468568;DF;Centro-Oeste;EMAP;True;530010
468398;DF;Centro-Oeste;EMAD I;True;530010
1563106;DF;Centro-Oeste;EMAP;False;530010
1477773;DF;Centro-Oeste;EMAD I;False;530010
469335;DF;Centro-Oeste;EMAD I;True;530010
1568140;DF;Centro-Oeste;EMAP;True;530010
469408;DF;Centro-Oeste;EMAD I;False;530010
471453;DF;Centro-Oeste;EMAP;True;530010
468851;DF;Centro-Oeste;EMAD I;True;530010
2185121;DF;Centro-Oeste;EMAD I;True;530010
2165007;DF;Centro-Oeste;EMAD I;True;530010
471445;DF;Centro-Oeste;EMAD I;True;530010
1591274;DF;Centro-Oeste;EMAP;False;530010
1481983;DF;Centro-Oeste;EMAD I;True;530010
2189305;DF;Centro-Oeste;EMAD I;True;530010
2385287;DF;Centro-Oeste;EMAD I;False;530010
2376296;DF;Centro-Oeste;EMAP;True;530010
1569929;DF;Centro-Oeste;EMAD I;True;530010
1538098;DF;Centro-Oeste;EMAP;True;530010
468541;DF;Centro-Oeste;EMAD I;True;530010
470902;DF;Centro-Oeste;EMAP;True;530010
