SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
2153939;MA;Nordeste;EMAP;False;210860
2525879;MA;Nordeste;EMAD I;True;211220
2527499;MA;Nordeste;EMAP;True;211220
2505010;MA;Nordeste;EMAP;True;211130
2522470;MA;Nordeste;EMAD I;True;211220
2513218;MA;Nordeste;EMAD I;True;210360
2509970;MA;Nordeste;EMAP-R;True;211107
2485060;MA;Nordeste;EMAP-R;True;211090
2491761;MA;Nordeste;EMAD I;True;210160
2505037;MA;Nordeste;EMAP;True;211130
2500264;MA;Nordeste;EMAD I;True;211130
2500256;MA;Nordeste;EMAD I;True;211130
2518562;MA;Nordeste;EMAP;True;210360
2540061;MA;Nordeste;EMAP-R;True;210720
1526138;MA;Nordeste;EMAP;True;211150
1526111;MA;Nordeste;EMAD I;True;211150
1555537;MA;Nordeste;EMAD I;True;211130
1585878;MA;Nordeste;EMAD I;True;211130
1577298;MA;Nordeste;EMAP;True;211130
50687;MA;Nordeste;EMAD I;True;210530
2150409;MA;Nordeste;EMAD II;True;210800
2150417;MA;Nordeste;EMAP;True;210800
1494120;MA;Nordeste;EMAD II;True;210060
1494139;MA;Nordeste;EMAP;True;210060
2245116;MA;Nordeste;EMAD II;False;210670
1472720;MA;Nordeste;EMAD I;True;211120
2494663;MA;Nordeste;EMAP;True;211400
2374498;MA;Nordeste;EMAP;True;210030
2409844;MA;Nordeste;EMAD I;False;210570
2527928;MA;Nordeste;EMAP-R;False;210125
2375249;MA;Nordeste;EMAP;True;210820
2373726;MA;Nordeste;EMAD II;True;210820
2504995;MA;Nordeste;EMAP;True;211130
2532999;MA;Nordeste;EMAP-R;True;210600
2444046;MA;Nordeste;EMAD I;True;211400
2476932;MA;Nordeste;EMAD II;False;210660
2476940;MA;Nordeste;EMAP;True;210660
2220539;MA;Nordeste;EMAP;True;210230
2506971;MA;Nordeste;EMAP-R;True;210255
2488698;MA;Nordeste;EMAD II;False;210870
2154196;MA;Nordeste;EMAD I;True;211230
2459574;MA;Nordeste;EMAD II;True;211290
2426595;MA;Nordeste;EMAP;True;210570
53856;MA;Nordeste;EMAP;True;210750
53899;MA;Nordeste;EMAD I;True;210750
1488244;MA;Nordeste;EMAP;True;210232
1488406;MA;Nordeste;EMAD I;True;210232
2225883;MA;Nordeste;EMAD II;True;210845
2225891;MA;Nordeste;EMAP;True;210845
2210436;MA;Nordeste;EMAP;True;210350
2210428;MA;Nordeste;EMAD I;True;210350
2278820;MA;Nordeste;EMAP;False;211110
2278812;MA;Nordeste;EMAD II;True;211110
1555529;MA;Nordeste;EMAD I;True;211130
1505580;MA;Nordeste;EMAD II;True;210900
1505599;MA;Nordeste;EMAP;True;210900
2155389;MA;Nordeste;EMAD II;True;211070
2155397;MA;Nordeste;EMAP;True;211070
2224348;MA;Nordeste;EMAP;True;210440
1706276;MA;Nordeste;EMAD I;True;211130
1698907;MA;Nordeste;EMAD II;True;210409
1472739;MA;Nordeste;EMAP;True;211120
1542664;MA;Nordeste;EMAD II;True;210380
1542699;MA;Nordeste;EMAP;False;210380
1696963;MA;Nordeste;EMAD I;False;210860
2215721;MA;Nordeste;EMAP;False;210550
2205513;MA;Nordeste;EMAD II;True;210030
2224321;MA;Nordeste;EMAD II;True;210440
2245124;MA;Nordeste;EMAP;True;210670
1705377;MA;Nordeste;EMAD I;True;210005
2236508;MA;Nordeste;EMAD I;True;210300
2236516;MA;Nordeste;EMAD I;False;210300
2236524;MA;Nordeste;EMAP;True;210300
2220520;MA;Nordeste;EMAD II;True;210230
2151928;MA;Nordeste;EMAP;False;210005
2187302;MA;Nordeste;EMAD II;True;211020
1534467;MA;Nordeste;EMAD I;True;210480
1534475;MA;Nordeste;EMAP;True;210480
2225387;MA;Nordeste;EMAD II;True;210770
2225395;MA;Nordeste;EMAP;True;210770
1555715;MA;Nordeste;EMAD I;True;210330
1555723;MA;Nordeste;EMAP;False;210330
2271842;MA;Nordeste;EMAD II;True;210420
2271826;MA;Nordeste;EMAP;True;210420
50598;MA;Nordeste;EMAD I;True;210530
50601;MA;Nordeste;EMAP;True;210530
2221780;MA;Nordeste;EMAD I;True;211130
57975;MA;Nordeste;EMAP;True;211020
2500299;MA;Nordeste;EMAD I;True;211130
