CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
310160;MG;2;EMAD I, EMAP;Alfenas
310170;MG;1;EMAD I;Almenara
310180;MG;1;EMAP-R;Alpercata
310220;MG;1;EMAP-R;Alvarenga
310285;MG;1;EMAP;Angelândia
310300;MG;1;EMAP-R;Antônio Dias
310340;MG;2;EMAD II, EMAP;Araçuaí
310350;MG;2;EMAD I, EMAP;Araguari
310360;MG;1;EMAP-R;Arantina
310470;MG;1;EMAP-R;Ataléia
310560;MG;2;EMAD I, EMAP;Barbacena
310590;MG;2;EMAD II, EMAP;Barroso
310620;MG;32;EMAD I, EMAP;Belo Horizonte
310670;MG;7;EMAD I, EMAP;Betim
310710;MG;2;EMAD I, EMAP;Boa Esperança
310730;MG;2;EMAD I, EMAP;Bocaiúva
310740;MG;2;EMAD I, EMAP;Bom Despacho
310780;MG;1;EMAP-R;Bom Jesus do Galho
310900;MG;2;EMAD I, EMAP;Brumadinho
310940;MG;2;EMAD II, EMAP;Buritizeiro
311000;MG;2;EMAD I, EMAP;Caeté
311080;MG;1;EMAP-R;Campanário
311100;MG;2;EMAD II, EMAP;Campestre
311110;MG;1;EMAD II;Campina Verde
311120;MG;2;EMAD I, EMAP;Campo Belo
311170;MG;2;EMAD II, EMAP;Canaã
311200;MG;2;EMAD II, EMAP;Candeias
311230;MG;2;EMAD II, EMAP;Capelinha
311340;MG;2;EMAD I, EMAP;Caratinga
311430;MG;1;EMAD II;Carmo do Paranaíba
311440;MG;2;EMAD II, EMAP;Carmo do Rio Claro
311570;MG;1;EMAP-R;Central de Minas
311610;MG;1;EMAP-R;Chapada do Norte
311630;MG;1;EMAP-R;Cipotânea
311660;MG;1;EMAD II;Cláudio
311800;MG;2;EMAD I, EMAP;Congonhas
311840;MG;1;EMAD II;Conselheiro Pena
311860;MG;10;EMAD I, EMAP;Contagem
311880;MG;2;EMAD II, EMAP;Coração de Jesus
311920;MG;1;EMAP-R;Coroaci
311930;MG;2;EMAD II, EMAP;Coromandel
311940;MG;1;EMAD I;Coronel Fabriciano
312000;MG;1;EMAP-R;Córrego Novo
312020;MG;1;EMAP-R;Cristais
312100;MG;2;EMAD II, EMAP;Datas
312160;MG;1;EMAD I;Diamantina
312220;MG;1;EMAP-R;Divinolândia de Minas
312230;MG;3;EMAD I, EMAP;Divinópolis
312300;MG;1;EMAP-R;Dores de Campos
312430;MG;2;EMAD II, EMAP;Espinosa
312490;MG;1;EMAP-R;Eugenópolis
312510;MG;2;EMAD II, EMAP;Extrema
312520;MG;1;EMAP-R;Fama
312590;MG;1;EMAD II;Ferros
312650;MG;1;EMAP-R;Francisco Badaró
312670;MG;2;EMAD II, EMAP;Francisco Sá
312675;MG;1;EMAP-R;Franciscópolis
312680;MG;1;EMAP-R;Frei Gaspar
312730;MG;1;EMAP-R;Galiléia
312737;MG;1;EMAP-R;Goiabeira
312770;MG;4;EMAD I, EMAP;Governador Valadares
312780;MG;2;EMAD II, EMAP;Grão Mogol
312870;MG;1;EMAD I;Guaxupé
312890;MG;1;EMAP-R;Guimarânia
312900;MG;1;EMAP-R;Guiricema
312930;MG;1;EMAP-R;Iapu
312980;MG;3;EMAD I, EMAP;Ibirité
313090;MG;1;EMAD II;Inhapim
313130;MG;4;EMAD I, EMAP;Ipatinga
313150;MG;1;EMAP-R;Ipuiúna
313170;MG;4;EMAD I, EMAP;Itabira
313240;MG;1;EMAD I;Itajubá
313250;MG;1;EMAD II;Itamarandiba
313270;MG;2;EMAD II, EMAP;Itambacuri
313330;MG;2;EMAD II, EMAP;Itaobim
313380;MG;1;EMAD I;Itaúna
313420;MG;2;EMAD I, EMAP;Ituiutaba
313505;MG;2;EMAD II, EMAP;Jaíba
313507;MG;1;EMAP-R;Jampruca
313510;MG;1;EMAD I;Janaúba
313580;MG;2;EMAD II, EMAP;Jequitinhonha
313665;MG;1;EMAD II;Juatuba
313670;MG;8;EMAD I, EMAP;Juiz de Fora
313690;MG;1;EMAP-R;Juruaia
313700;MG;1;EMAP-R;Ladainha
313760;MG;2;EMAD I, EMAP;Lagoa Santa
313840;MG;2;EMAD I, EMAP;Leopoldina
313900;MG;2;EMAD I, EMAP;Machado
313940;MG;2;EMAD I, EMAP;Manhuaçu
313960;MG;2;EMAD II, EMAP;Mantena
314070;MG;2;EMAD II, EMAP;Mateus Leme
314140;MG;2;EMAD II, EMAP;Medina
314180;MG;2;EMAD II, EMAP;Minas Novas
314290;MG;1;EMAD II;Monte Azul
314310;MG;1;EMAD I;Monte Carmelo
314330;MG;5;EMAD I, EMAP;Montes Claros
314390;MG;2;EMAD I, EMAP;Muriaé
314400;MG;2;EMAD II, EMAP;Mutum
314467;MG;1;EMAP-R;Nova Belém
314480;MG;2;EMAD I, EMAP;Nova Lima
314490;MG;1;EMAP-R;Nova Módica
314520;MG;2;EMAD I, EMAP;Nova Serrana
314560;MG;1;EMAD I;Oliveira
314610;MG;1;EMAD I;Ouro Preto
314710;MG;2;EMAD I, EMAP;Pará de Minas
314790;MG;2;EMAD I, EMAP;Passos
314800;MG;3;EMAD I, EMAP;Patos de Minas
314810;MG;2;EMAD I, EMAP;Patrocínio
314930;MG;2;EMAD I, EMAP;Pedro Leopoldo
314970;MG;2;EMAD II, EMAP;Perdigão
315000;MG;1;EMAP-R;Pescador
315120;MG;2;EMAD I, EMAP;Pirapora
315140;MG;1;EMAD II;Pitangui
315170;MG;1;EMAP-R;Poço Fundo
315180;MG;3;EMAD I, EMAP;Poços de Caldas
315220;MG;2;EMAD II, EMAP;Porteirinha
315250;MG;1;EMAD I;Pouso Alegre
315280;MG;2;EMAD II, EMAP;Prata
315400;MG;2;EMAD II, EMAP;Raul Soares
315460;MG;4;EMAD I, EMAP;Ribeirão das Neves
315560;MG;2;EMAD II, EMAP;Rio Pardo de Minas
315670;MG;2;EMAD I, EMAP;Sabará
315700;MG;2;EMAD I, EMAP;Salinas
315780;MG;3;EMAD I, EMAP;Santa Luzia
315820;MG;1;EMAP-R;Santa Maria do Suaçuí
315920;MG;1;EMAP-R;Santa Rita de Caldas
315950;MG;1;EMAP-R;Santa Rita do Itueto
315960;MG;2;EMAD I, EMAP;Santa Rita do Sapucaí
315980;MG;1;EMAD II;Santa Vitória
315990;MG;1;EMAD II;Santo Antônio do Amparo
316040;MG;2;EMAD II, EMAP;Santo Antônio do Monte
316270;MG;2;EMAD II, EMAP;São João do Paraíso
316290;MG;1;EMAD II;São João Nepomuceno
316370;MG;2;EMAD I, EMAP;São Lourenço
316553;MG;2;EMAD II, EMAP;Sarzedo
316555;MG;1;EMAP-R;Setubinha
316710;MG;1;EMAD II;Serro
316770;MG;1;EMAP-R;Sobrália
316800;MG;2;EMAD II, EMAP;Taiobeiras
316850;MG;2;EMAD II, EMAP;Teixeiras
316860;MG;3;EMAD I, EMAP;Teófilo Otoni
316870;MG;2;EMAD I, EMAP;Timóteo
316900;MG;1;EMAP-R;Tocantins
316940;MG;1;EMAD I;Três Pontas
316950;MG;1;EMAP-R;Tumiritinga
316960;MG;2;EMAD II, EMAP;Tupaciguara
316970;MG;1;EMAD II;Turmalina
317010;MG;4;EMAD I, EMAP;Uberaba
317020;MG;10;EMAD I, EMAP;Uberlândia
317065;MG;1;EMAP-R;Vargem Grande do Rio Pardo
317070;MG;2;EMAD I, EMAP;Varginha
317080;MG;2;EMAD II, EMAP;Várzea da Palma
317107;MG;1;EMAP;Veredinha
317120;MG;2;EMAD I, EMAP;Vespasiano
317130;MG;2;EMAD I, EMAP;Viçosa
317150;MG;1;EMAP-R;Mathias Lobato
