SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
2129760;MS;Centro-Oeste;EMAD II;False;500070
2152401;MS;Centro-Oeste;EMAD I;False;500570
1689606;MS;Centro-Oeste;EMAD I;True;500270
1651188;MS;Centro-Oeste;EMAD I;True;500660
2527642;MS;Centro-Oeste;EMAP;False;500270
1656112;MS;Centro-Oeste;EMAD I;False;500270
1501925;MS;Centro-Oeste;EMAD II;True;500330
1501933;MS;Centro-Oeste;EMAP;True;500330
2130998;MS;Centro-Oeste;EMAP;True;500070
1516779;MS;Centro-Oeste;EMAD II;True;500769
1576992;MS;Centro-Oeste;EMAP;True;500769
2252236;MS;Centro-Oeste;EMAD I;True;500370
1618024;MS;Centro-Oeste;EMAD I;False;500110
1618156;MS;Centro-Oeste;EMAP;True;500110
1690124;MS;Centro-Oeste;EMAP;True;500830
438952;MS;Centro-Oeste;EMAP;True;500270
438944;MS;Centro-Oeste;EMAD I;True;500270
1510592;MS;Centro-Oeste;EMAD I;True;500270
1566377;MS;Centro-Oeste;EMAD I;False;500320
1566385;MS;Centro-Oeste;EMAP;False;500320
1690116;MS;Centro-Oeste;EMAD I;True;500830
1536869;MS;Centro-Oeste;EMAP;True;500270
1536850;MS;Centro-Oeste;EMAD I;True;500270
