SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1672533;PA;Norte;EMAD I;False;150680
1589326;PA;Norte;EMAD I;False;150140
2198215;PA;Norte;EMAD I;True;150470
2184028;PA;Norte;EMAP;True;150085
2230518;PA;Norte;EMAD I;False;150760
2230623;PA;Norte;EMAP;True;150760
1696505;PA;Norte;EMAP;True;150553
2523841;PA;Norte;EMAD I;True;150330
2523868;PA;Norte;EMAP;True;150330
1715992;PA;Norte;EMAD I;False;150010
1716018;PA;Norte;EMAP;True;150010
2316358;PA;Norte;EMAD I;False;150010
2513269;PA;Norte;EMAP-R;True;150160
2521830;PA;Norte;EMAD I;True;150130
2501449;PA;Norte;EMAD II;True;150780
2501457;PA;Norte;EMAP;True;150780
2207370;PA;Norte;EMAP;True;150195
2426080;PA;Norte;EMAD II;True;150172
2426102;PA;Norte;EMAP;True;150172
2529076;PA;Norte;EMAD I;False;150510
2513781;PA;Norte;EMAD II;True;150350
2513803;PA;Norte;EMAP;True;150350
1646788;PA;Norte;EMAD I;False;150230
1646842;PA;Norte;EMAP;True;150230
1540505;PA;Norte;EMAD II;True;150808
1540513;PA;Norte;EMAP;True;150808
1706853;PA;Norte;EMAD I;False;150370
1709046;PA;Norte;EMAP;True;150370
2209683;PA;Norte;EMAD I;True;150506
1543415;PA;Norte;EMAD I;True;150670
1543423;PA;Norte;EMAP;True;150670
2232618;PA;Norte;EMAD I;False;150020
1666991;PA;Norte;EMAD I;True;150170
1667009;PA;Norte;EMAP;True;150170
2190982;PA;Norte;EMAD I;True;150215
2190990;PA;Norte;EMAP;True;150215
1698389;PA;Norte;EMAD II;True;150085
1560743;PA;Norte;EMAP;True;150543
2395053;PA;Norte;EMAP;True;150445
2510847;PA;Norte;EMAD I;False;150370
2518864;PA;Norte;EMAP-R;False;150157
2477211;PA;Norte;EMAP;True;150020
2384841;PA;Norte;EMAP;True;150570
2384876;PA;Norte;EMAD II;True;150570
1667408;PA;Norte;EMAP;True;150405
2510723;PA;Norte;EMAP-R;True;150835
2418517;PA;Norte;EMAD I;False;150680
2381745;PA;Norte;EMAP;True;150820
2418509;PA;Norte;EMAD I;False;150680
2365197;PA;Norte;EMAD II;True;150635
2477831;PA;Norte;EMAP;True;150650
