SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
2261502;PB;Nordeste;EMAP;False;251690
1674560;PB;Nordeste;EMAP;True;251250
1674552;PB;Nordeste;EMAD I;True;251250
1705016;PB;Nordeste;EMAD I;True;251530
1705040;PB;Nordeste;EMAP;True;251530
2489317;PB;Nordeste;EMAP-R;False;250940
1677144;PB;Nordeste;EMAD II;True;250250
1677152;PB;Nordeste;EMAP;True;250250
2508184;PB;Nordeste;EMAP-R;True;250220
2524678;PB;Nordeste;EMAP-R;True;250050
2500078;PB;Nordeste;EMAP-R;False;250720
2512688;PB;Nordeste;EMAP-R;True;250077
2492121;PB;Nordeste;EMAP-R;True;250410
2500019;PB;Nordeste;EMAP-R;True;251275
2510340;PB;Nordeste;EMAP-R;True;250270
2510995;PB;Nordeste;EMAP;True;250890
2539500;PB;Nordeste;EMAP;False;250900
2524805;PB;Nordeste;EMAP;False;250690
2524147;PB;Nordeste;EMAP-R;True;250820
2433745;PB;Nordeste;EMAD II;True;250150
2433753;PB;Nordeste;EMAP;False;250150
2508672;PB;Nordeste;EMAP-R;False;250840
2525348;PB;Nordeste;EMAP-R;True;250730
2510561;PB;Nordeste;EMAP-R;True;250660
2513242;PB;Nordeste;EMAP-R;True;251394
2516497;PB;Nordeste;EMAP-R;True;250590
2508001;PB;Nordeste;EMAP-R;True;251640
2522322;PB;Nordeste;EMAP-R;True;251570
2526050;PB;Nordeste;EMAP-R;True;250855
2524287;PB;Nordeste;EMAP-R;True;251593
2540444;PB;Nordeste;EMAP-R;False;250530
2525461;PB;Nordeste;EMAP-R;False;250980
2525488;PB;Nordeste;EMAP-R;True;250580
2531801;PB;Nordeste;EMAP-R;False;251335
2511967;PB;Nordeste;EMAP-R;False;251550
2525585;PB;Nordeste;EMAP-R;True;251470
2510715;PB;Nordeste;EMAP-R;False;251350
2244217;PB;Nordeste;EMAD II;False;251690
2493659;PB;Nordeste;EMAP-R;False;250450
1696742;PB;Nordeste;EMAP;True;250480
1696734;PB;Nordeste;EMAD II;True;250480
1624121;PB;Nordeste;EMAD I;False;251620
1624148;PB;Nordeste;EMAP;True;251620
1523325;PB;Nordeste;EMAP;True;250630
1709550;PB;Nordeste;EMAD I;True;250890
2190761;PB;Nordeste;EMAD II;True;251120
1618830;PB;Nordeste;EMAP;True;251120
1489976;PB;Nordeste;EMAP;False;251210
1489984;PB;Nordeste;EMAD II;True;251210
1561375;PB;Nordeste;EMAD II;True;250970
1561189;PB;Nordeste;EMAP;True;250970
2301865;PB;Nordeste;EMAP;True;250040
1623397;PB;Nordeste;EMAD II;True;250110
2233789;PB;Nordeste;EMAP;False;250280
2233797;PB;Nordeste;EMAD II;True;250280
1698796;PB;Nordeste;EMAP;False;250010
2516179;PB;Nordeste;EMAP-R;False;251070
2496909;PB;Nordeste;EMAP-R;True;251278
2461900;PB;Nordeste;EMAD II;True;250030
2516632;PB;Nordeste;EMAP-R;False;250470
2522551;PB;Nordeste;EMAP-R;False;251340
2509547;PB;Nordeste;EMAP-R;True;250260
2499843;PB;Nordeste;EMAP-R;True;251455
2500116;PB;Nordeste;EMAP-R;True;250380
2508052;PB;Nordeste;EMAD II;False;250770
1709194;PB;Nordeste;EMAD II;True;250690
2520621;PB;Nordeste;EMAP-R;False;250350
2507420;PB;Nordeste;EMAP-R;True;251430
2494418;PB;Nordeste;EMAP-R;True;250157
1523309;PB;Nordeste;EMAD I;False;250630
2514303;PB;Nordeste;EMAP-R;True;251720
2151367;PB;Nordeste;EMAD II;True;251150
2151359;PB;Nordeste;EMAP;True;251150
1482971;PB;Nordeste;EMAD I;False;250750
2511886;PB;Nordeste;EMAP-R;True;250800
2521032;PB;Nordeste;EMAP-R;True;251330
2513943;PB;Nordeste;EMAP-R;False;251440
2524899;PB;Nordeste;EMAP-R;True;251170
2486865;PB;Nordeste;EMAP-R;True;250135
2451468;PB;Nordeste;EMAD II;True;251670
2293528;PB;Nordeste;EMAP;True;250190
2290790;PB;Nordeste;EMAD II;True;250830
1698761;PB;Nordeste;EMAD II;True;250010
2280310;PB;Nordeste;EMAD II;True;250040
1709879;PB;Nordeste;EMAP;True;251080
1708333;PB;Nordeste;EMAP;True;250600
1714821;PB;Nordeste;EMAD II;True;251390
1622048;PB;Nordeste;EMAP;False;250370
1518534;PB;Nordeste;EMAD II;True;250510
1518550;PB;Nordeste;EMAP;False;250510
1707124;PB;Nordeste;EMAD II;True;250210
1711822;PB;Nordeste;EMAP;True;250210
1789236;PB;Nordeste;EMAD II;True;251600
1704605;PB;Nordeste;EMAD II;True;250053
1704613;PB;Nordeste;EMAP;True;250053
1710524;PB;Nordeste;EMAD II;True;250190
1564757;PB;Nordeste;EMAP;False;250460
1564765;PB;Nordeste;EMAD II;True;250460
1709836;PB;Nordeste;EMAD I;False;251080
124737;PB;Nordeste;EMAD I;True;250750
124745;PB;Nordeste;EMAD I;True;250750
124753;PB;Nordeste;EMAD I;False;250750
1710494;PB;Nordeste;EMAD I;False;251370
1710508;PB;Nordeste;EMAP;False;251370
1710443;PB;Nordeste;EMAP;True;250240
1710435;PB;Nordeste;EMAD II;True;250240
1705334;PB;Nordeste;EMAD II;True;251450
2188023;PB;Nordeste;EMAD I;False;250180
2188007;PB;Nordeste;EMAP;False;250180
2224712;PB;Nordeste;EMAP;True;251450
1708341;PB;Nordeste;EMAD II;True;250600
1619047;PB;Nordeste;EMAD II;True;251130
1619039;PB;Nordeste;EMAP;False;251130
2278170;PB;Nordeste;EMAP;True;251320
2206072;PB;Nordeste;EMAD II;False;250790
2206080;PB;Nordeste;EMAP;True;250790
2182742;PB;Nordeste;EMAP;True;250680
1520466;PB;Nordeste;EMAD II;True;250440
1520903;PB;Nordeste;EMAP;True;250440
1655507;PB;Nordeste;EMAD II;True;251230
1625128;PB;Nordeste;EMAD I;False;250370
1697447;PB;Nordeste;EMAD II;True;250070
2219956;PB;Nordeste;EMAP;True;251670
2492520;PB;Nordeste;EMAP-R;True;251445
1650351;PB;Nordeste;EMAD I;False;250320
1650386;PB;Nordeste;EMAP;True;250320
2264498;PB;Nordeste;EMAP;True;250070
1709135;PB;Nordeste;EMAD I;True;250400
1709143;PB;Nordeste;EMAD I;True;250400
1709151;PB;Nordeste;EMAD I;True;250400
1709178;PB;Nordeste;EMAP;True;250400
1623389;PB;Nordeste;EMAP;True;250110
2278189;PB;Nordeste;EMAD II;True;251320
1697005;PB;Nordeste;EMAD II;True;250680
124613;PB;Nordeste;EMAD I;True;250750
124729;PB;Nordeste;EMAD I;False;250750
124621;PB;Nordeste;EMAP;True;250750
124699;PB;Nordeste;EMAD I;True;250750
124605;PB;Nordeste;EMAP;True;250750
1482963;PB;Nordeste;EMAP;True;250750
1620428;PB;Nordeste;EMAP;True;250300
1620436;PB;Nordeste;EMAD II;True;250300
1565265;PB;Nordeste;EMAP;True;250700
1565273;PB;Nordeste;EMAD II;True;250700
1698230;PB;Nordeste;EMAD II;False;251660
1698222;PB;Nordeste;EMAP;True;251660
