SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1521705;PE;Nordeste;EMAD I;False;260050
1543334;PE;Nordeste;EMAD II;False;260760
1543342;PE;Nordeste;EMAP;True;260760
140031;PE;Nordeste;EMAP;True;260410
1708511;PE;Nordeste;EMAD I;True;261250
2526522;PE;Nordeste;EMAD II;True;260310
2532409;PE;Nordeste;EMAD II;False;261170
2338483;PE;Nordeste;EMAP;True;260590
2338548;PE;Nordeste;EMAD II;False;260590
152803;PE;Nordeste;EMAP;True;261160
2248735;PE;Nordeste;EMAD II;False;260030
2294850;PE;Nordeste;EMAD I;False;261000
2294869;PE;Nordeste;EMAD II;True;261000
2294877;PE;Nordeste;EMAP;True;261000
1479288;PE;Nordeste;EMAP;False;261640
2231239;PE;Nordeste;EMAP;True;260750
2231247;PE;Nordeste;EMAD II;False;260750
151262;PE;Nordeste;EMAD I;False;261110
151548;PE;Nordeste;EMAD I;False;261110
151572;PE;Nordeste;EMAP;True;261110
1486101;PE;Nordeste;EMAD I;False;261110
2167646;PE;Nordeste;EMAD II;False;260090
1571311;PE;Nordeste;EMAD I;False;260790
2279053;PE;Nordeste;EMAP;True;260320
2288281;PE;Nordeste;EMAD II;True;261485
2288303;PE;Nordeste;EMAP;True;261485
2270218;PE;Nordeste;EMAD I;True;260190
2270226;PE;Nordeste;EMAP;True;260190
2318792;PE;Nordeste;EMAD II;True;261190
2318806;PE;Nordeste;EMAP;False;261190
1521713;PE;Nordeste;EMAP;False;260050
2465353;PE;Nordeste;EMAD I;False;260010
2512831;PE;Nordeste;EMAP;False;260080
2514133;PE;Nordeste;EMAP;False;261300
2308630;PE;Nordeste;EMAD II;False;261160
2534770;PE;Nordeste;EMAP;True;260310
2308231;PE;Nordeste;EMAP;False;260290
2425688;PE;Nordeste;EMAD II;True;260080
152374;PE;Nordeste;EMAD I;False;261160
152358;PE;Nordeste;EMAD I;False;261160
152838;PE;Nordeste;EMAD I;False;261160
152811;PE;Nordeste;EMAD I;False;261160
152331;PE;Nordeste;EMAP;True;261160
152323;PE;Nordeste;EMAD I;False;261160
152315;PE;Nordeste;EMAD I;False;261160
152366;PE;Nordeste;EMAD I;False;261160
1520644;PE;Nordeste;EMAD I;True;261160
1526812;PE;Nordeste;EMAD I;False;261160
152390;PE;Nordeste;EMAP;True;261160
2303965;PE;Nordeste;EMAD II;True;261160
2477912;PE;Nordeste;EMAD II;False;260420
1545388;PE;Nordeste;EMAD I;False;260790
1710591;PE;Nordeste;EMAD I;False;260790
2444305;PE;Nordeste;EMAD II;True;261020
2408996;PE;Nordeste;EMAP;True;260480
2408988;PE;Nordeste;EMAD II;True;260480
2484234;PE;Nordeste;EMAD I;True;261090
2484242;PE;Nordeste;EMAP;True;261090
2326531;PE;Nordeste;EMAP;False;261650
2326558;PE;Nordeste;EMAD II;True;261650
2352826;PE;Nordeste;EMAP;False;261000
2488833;PE;Nordeste;EMAP;True;260540
2303973;PE;Nordeste;EMAD II;True;261160
2303981;PE;Nordeste;EMAP;True;261160
2279045;PE;Nordeste;EMAD II;True;260320
134317;PE;Nordeste;EMAP;False;260005
2213621;PE;Nordeste;EMAD I;False;260140
161098;PE;Nordeste;EMAD I;False;261640
2271265;PE;Nordeste;EMAP;True;261100
1662910;PE;Nordeste;EMAD II;True;261330
1662929;PE;Nordeste;EMAP;True;261330
2291622;PE;Nordeste;EMAD II;True;261320
22;PE;Nordeste;EMAP;False;260170
2243768;PE;Nordeste;EMAD II;True;261100
2308207;PE;Nordeste;EMAD II;False;261070
1620630;PE;Nordeste;EMAP;True;260170
1705237;PE;Nordeste;EMAD II;True;260765
1705245;PE;Nordeste;EMAP;False;260765
2292696;PE;Nordeste;EMAD I;True;260950
2292718;PE;Nordeste;EMAP;True;260950
2168456;PE;Nordeste;EMAD I;False;260640
2168472;PE;Nordeste;EMAP;False;260640
2230844;PE;Nordeste;EMAD I;False;261420
2230852;PE;Nordeste;EMAP;True;261420
2193787;PE;Nordeste;EMAP;False;261340
2193825;PE;Nordeste;EMAD II;True;261340
140066;PE;Nordeste;EMAD I;True;260410
2216477;PE;Nordeste;EMAD I;True;260070
1620754;PE;Nordeste;EMAP;True;260210
1620746;PE;Nordeste;EMAD I;True;260210
2213613;PE;Nordeste;EMAP;False;260140
2219832;PE;Nordeste;EMAP;True;260070
1625764;PE;Nordeste;EMAD II;True;261310
2183935;PE;Nordeste;EMAP;True;261380
2297949;PE;Nordeste;EMAD I;False;260400
2297957;PE;Nordeste;EMAP;False;260400
1710605;PE;Nordeste;EMAD I;False;260790
1476750;PE;Nordeste;EMAP;True;260620
1476734;PE;Nordeste;EMAD I;True;260620
1578693;PE;Nordeste;EMAP;True;260775
1577751;PE;Nordeste;EMAD II;True;260775
2477033;PE;Nordeste;EMAD II;True;260540
1625772;PE;Nordeste;EMAP;True;261310
2167654;PE;Nordeste;EMAP;True;260090
1528254;PE;Nordeste;EMAD I;True;260290
1528262;PE;Nordeste;EMAP;True;260290
2237911;PE;Nordeste;EMAD I;True;260600
2237946;PE;Nordeste;EMAP;True;260600
140341;PE;Nordeste;EMAD I;True;260410
1545450;PE;Nordeste;EMAP;True;260790
1655051;PE;Nordeste;EMAP;True;260790
1708538;PE;Nordeste;EMAP;True;261250
1620657;PE;Nordeste;EMAD I;False;260170
134309;PE;Nordeste;EMAD I;False;260005
1546643;PE;Nordeste;EMAD II;True;260880
2094517;PE;Nordeste;EMAP;True;260880
140376;PE;Nordeste;EMAD I;True;260410
2308223;PE;Nordeste;EMAD II;False;260290
1545558;PE;Nordeste;EMAD I;False;261300
2260417;PE;Nordeste;EMAD II;True;260900
2308215;PE;Nordeste;EMAP;True;261070
2309459;PE;Nordeste;EMAD I;False;261000
2360535;PE;Nordeste;EMAP;True;261320
2334526;PE;Nordeste;EMAD II;True;260380
2334518;PE;Nordeste;EMAP;True;260380
2407787;PE;Nordeste;EMAP;True;260370
2407795;PE;Nordeste;EMAD II;True;260370
2308622;PE;Nordeste;EMAP;True;261160
2270447;PE;Nordeste;EMAD I;False;261070
2484250;PE;Nordeste;EMAP;False;261020
2429209;PE;Nordeste;EMAP;True;260030
1654985;PE;Nordeste;EMAD I;False;260790
2183927;PE;Nordeste;EMAD II;True;261380
2242710;PE;Nordeste;EMAP;True;261240
2227894;PE;Nordeste;EMAD II;True;261240
1585207;PE;Nordeste;EMAD I;False;260790
1654756;PE;Nordeste;EMAD I;False;260790
