SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1522981;PI;Nordeste;EMAD II;True;220790
1523074;PI;Nordeste;EMAP;True;220790
2255847;PI;Nordeste;EMAD II;True;220700
2255855;PI;Nordeste;EMAP;True;220700
2491052;PI;Nordeste;EMAP-R;False;220750
2495120;PI;Nordeste;EMAP-R;True;220070
2536374;PI;Nordeste;EMAP-R;True;220865
2485907;PI;Nordeste;EMAP-R;False;220540
2487705;PI;Nordeste;EMAP-R;False;221050
2499959;PI;Nordeste;EMAP-R;True;220465
2487969;PI;Nordeste;EMAP-R;True;220775
2535394;PI;Nordeste;EMAP-R;True;220525
2485176;PI;Nordeste;EMAP-R;True;220557
2528169;PI;Nordeste;EMAP-R;False;220025
2500752;PI;Nordeste;EMAP-R;True;220335
2540770;PI;Nordeste;EMAP-R;True;220558
2505517;PI;Nordeste;EMAP-R;True;220730
2500337;PI;Nordeste;EMAP-R;True;220375
1530372;PI;Nordeste;EMAD I;True;220120
1539930;PI;Nordeste;EMAP;True;220120
2528193;PI;Nordeste;EMAP-R;True;220880
1517694;PI;Nordeste;EMAD II;True;220570
1517821;PI;Nordeste;EMAP;True;220570
1498339;PI;Nordeste;EMAP;True;221000
2210029;PI;Nordeste;EMAD I;True;220220
1592351;PI;Nordeste;EMAP;False;220390
1592335;PI;Nordeste;EMAD I;False;220390
1561049;PI;Nordeste;EMAD II;True;220190
1561057;PI;Nordeste;EMAP;True;220190
1498320;PI;Nordeste;EMAD II;True;221000
2524074;PI;Nordeste;EMAP-R;False;220330
2499835;PI;Nordeste;EMAP-R;True;220955
2485559;PI;Nordeste;EMAP-R;True;220060
2488000;PI;Nordeste;EMAP-R;True;221080
2488450;PI;Nordeste;EMAP-R;True;220050
2496046;PI;Nordeste;EMAP-R;True;220105
2498162;PI;Nordeste;EMAP-R;True;220250
2489872;PI;Nordeste;EMAP-R;False;220090
2488868;PI;Nordeste;EMAP-R;True;220990
2445158;PI;Nordeste;EMAD II;True;220270
2488752;PI;Nordeste;EMAP-R;True;220985
2490188;PI;Nordeste;EMAP-R;True;220345
2500140;PI;Nordeste;EMAP-R;True;220196
2483238;PI;Nordeste;EMAP-R;True;221140
2497476;PI;Nordeste;EMAP-R;True;220635
2426587;PI;Nordeste;EMAD II;True;220820
2455919;PI;Nordeste;EMAP;False;220820
2485680;PI;Nordeste;EMAP-R;True;220010
2494612;PI;Nordeste;EMAP-R;True;220510
2494132;PI;Nordeste;EMAD I;False;221100
2494140;PI;Nordeste;EMAP;True;221100
1481606;PI;Nordeste;EMAD I;False;220840
1481622;PI;Nordeste;EMAP;True;220840
1513850;PI;Nordeste;EMAD II;True;220230
1516485;PI;Nordeste;EMAP;True;220230
1618202;PI;Nordeste;EMAD II;False;220310
1566075;PI;Nordeste;EMAP;False;220310
1531565;PI;Nordeste;EMAD II;True;221130
2210037;PI;Nordeste;EMAP;True;220220
1551809;PI;Nordeste;EMAD I;False;221100
1672193;PI;Nordeste;EMAD II;True;220370
1672207;PI;Nordeste;EMAP;True;220370
1521454;PI;Nordeste;EMAD II;True;220550
1527320;PI;Nordeste;EMAP;True;220550
2512351;PI;Nordeste;EMAP-R;True;220455
1531557;PI;Nordeste;EMAP;True;221130
2490323;PI;Nordeste;EMAP-R;False;220695
2496704;PI;Nordeste;EMAP-R;False;220554
1709658;PI;Nordeste;EMAD I;False;221110
1715674;PI;Nordeste;EMAP;True;221110
1495771;PI;Nordeste;EMAD II;True;221060
1497146;PI;Nordeste;EMAP;True;221060
