SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
382736;PR;Sul;EMAD I;False;410690
473456;PR;Sul;EMAP;True;410690
1709674;PR;Sul;EMAD I;True;410690
473480;PR;Sul;EMAD I;False;410690
2241498;PR;Sul;EMAD II;True;412440
2241501;PR;Sul;EMAP;True;412440
1526243;PR;Sul;EMAD I;False;410940
1536141;PR;Sul;EMAP;True;410940
2531666;PR;Sul;EMAD II;False;412550
2531674;PR;Sul;EMAP;False;412550
2504480;PR;Sul;EMAP-R;True;412780
2524309;PR;Sul;EMAD I;False;412240
2517779;PR;Sul;EMAP-R;True;410965
2395975;PR;Sul;EMAP;True;411990
2540673;PR;Sul;EMAP-R;True;412690
383171;PR;Sul;EMAD I;False;410690
383317;PR;Sul;EMAD I;False;410690
473499;PR;Sul;EMAD I;False;410690
1707957;PR;Sul;EMAD I;False;410940
1536249;PR;Sul;EMAD I;True;411840
2171686;PR;Sul;EMAD I;False;410150
2291045;PR;Sul;EMAD I;True;411915
2204940;PR;Sul;EMAD I;True;411520
2204959;PR;Sul;EMAP;True;411520
2141108;PR;Sul;EMAD I;False;410830
1711660;PR;Sul;EMAD I;False;411460
1711679;PR;Sul;EMAP;True;411460
2260611;PR;Sul;EMAP;False;412550
2295997;PR;Sul;EMAD I;True;412550
2298848;PR;Sul;EMAD I;False;410550
2298899;PR;Sul;EMAP;False;410550
2275074;PR;Sul;EMAD II;False;410630
2299356;PR;Sul;EMAD II;True;410210
2299364;PR;Sul;EMAP;True;410210
2021617;PR;Sul;EMAD II;True;410110
389579;PR;Sul;EMAP;True;411370
2516233;PR;Sul;EMAD I;True;411520
2388871;PR;Sul;EMAP;True;410690
383465;PR;Sul;EMAD I;False;410690
2395959;PR;Sul;EMAD I;True;411990
2441764;PR;Sul;EMAP;True;412800
2469790;PR;Sul;EMAD I;False;410480
2388855;PR;Sul;EMAD I;False;410690
2388812;PR;Sul;EMAD I;True;410690
2233908;PR;Sul;EMAD I;False;410690
2300907;PR;Sul;EMAD II;True;412800
1684949;PR;Sul;EMAD I;False;410840
2021374;PR;Sul;EMAP;True;410110
2254344;PR;Sul;EMAP;True;410830
1526448;PR;Sul;EMAP;True;411790
2232820;PR;Sul;EMAD II;True;410450
2232839;PR;Sul;EMAP;True;410450
2233932;PR;Sul;EMAD I;False;410690
2227649;PR;Sul;EMAD II;True;410860
2227630;PR;Sul;EMAP;True;410860
2137879;PR;Sul;EMAD II;True;410650
2253623;PR;Sul;EMAD I;True;412550
389560;PR;Sul;EMAD I;False;411370
383139;PR;Sul;EMAD I;False;410690
473421;PR;Sul;EMAP;True;410690
473448;PR;Sul;EMAD I;False;410690
1547461;PR;Sul;EMAD II;False;412405
1547488;PR;Sul;EMAP;False;412405
2250829;PR;Sul;EMAD I;True;410430
1621025;PR;Sul;EMAD II;True;410540
2177528;PR;Sul;EMAD I;True;410765
2245256;PR;Sul;EMAD II;True;412090
2254301;PR;Sul;EMAD I;False;410830
2254328;PR;Sul;EMAD I;True;410830
383198;PR;Sul;EMAD I;False;410690
383473;PR;Sul;EMAP;True;410690
1476777;PR;Sul;EMAD I;True;410690
1709682;PR;Sul;EMAD I;False;410690
2233916;PR;Sul;EMAD I;False;410690
378682;PR;Sul;EMAD I;True;410480
378674;PR;Sul;EMAD I;True;410480
1486926;PR;Sul;EMAD I;True;410480
378666;PR;Sul;EMAP;True;410480
2208296;PR;Sul;EMAD I;True;412770
2208318;PR;Sul;EMAP;False;412770
377031;PR;Sul;EMAD I;False;410370
2388863;PR;Sul;EMAD I;False;410690
2497182;PR;Sul;EMAP-R;False;412665
1479369;PR;Sul;EMAD I;True;411370
1479172;PR;Sul;EMAD I;False;411370
2129140;PR;Sul;EMAP;True;411770
1974092;PR;Sul;EMAD II;False;411770
1526421;PR;Sul;EMAD II;True;411790
