CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
240020;RN;2;EMAD I, EMAP;Açu
240050;RN;1;EMAP-R;Alexandria
240110;RN;1;EMAD II;Areia Branca
240200;RN;1;EMAD I;Caicó
240220;RN;2;EMAD II, EMAP;Canguaretama
240260;RN;2;EMAD I, EMAP;Ceará-Mirim
240310;RN;1;EMAD I;Currais Novos
240325;RN;3;EMAD I, EMAP;Parnamirim
240360;RN;1;EMAD II;Extremoz
240420;RN;2;EMAD II, EMAP;Goianinha
240580;RN;1;EMAD II;João Câmara
240710;RN;2;EMAD I, EMAP;Macaíba
240780;RN;2;EMAD II, EMAP;Monte Alegre
240800;RN;2;EMAD I, EMAP;Mossoró
240810;RN;8;EMAD I, EMAP;Natal
240820;RN;2;EMAD II, EMAP;Nísia Floresta
240830;RN;2;EMAD II, EMAP;Nova Cruz
240890;RN;2;EMAD II, EMAP;Parelhas
240940;RN;2;EMAD II, EMAP;Pau dos Ferros
241120;RN;1;EMAD II;Santa Cruz
241150;RN;2;EMAD II, EMAP;Santo Antônio
241220;RN;2;EMAD I, EMAP;São José de Mipibu
241260;RN;1;EMAD II;São Paulo do Potengi
241330;RN;1;EMAP-R;Serra de São Bento
241440;RN;2;EMAD II, EMAP;Touros
