SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
2236133;RS;Sul;EMAD I;True;431490
2522691;RS;Sul;EMAD I;True;430676
2497867;RS;Sul;EMAD I;True;431440
2497875;RS;Sul;EMAP;True;431440
2487381;RS;Sul;EMAP-R;False;432380
428973;RS;Sul;EMAD I;False;431440
2487861;RS;Sul;EMAD I;True;430930
1525727;RS;Sul;EMAD I;False;431405
2228580;RS;Sul;EMAD II;True;431950
1701533;RS;Sul;EMAD II;True;431850
2113147;RS;Sul;EMAD I;True;432300
2175126;RS;Sul;EMAP;True;430210
1570463;RS;Sul;EMAD I;True;431490
1487000;RS;Sul;EMAD I;False;430210
1484869;RS;Sul;EMAP;True;431340
1505564;RS;Sul;EMAD I;True;431340
1570447;RS;Sul;EMAD I;True;431490
2189550;RS;Sul;EMAD II;False;431570
2533677;RS;Sul;EMAP-R;False;430087
2490447;RS;Sul;EMAD I;True;431490
2493160;RS;Sul;EMAP;True;430597
2481693;RS;Sul;EMAD II;True;431530
1674773;RS;Sul;EMAD I;False;431490
2490285;RS;Sul;EMAD I;True;431490
2490293;RS;Sul;EMAD I;True;431490
1674765;RS;Sul;EMAD I;True;431490
2327015;RS;Sul;EMAD I;True;431760
1541129;RS;Sul;EMAD I;True;431490
2102803;RS;Sul;EMAP;True;432300
1506323;RS;Sul;EMAD II;True;430535
1713078;RS;Sul;EMAD I;False;430390
1701657;RS;Sul;EMAP;True;430940
1570811;RS;Sul;EMAD I;False;431240
1570838;RS;Sul;EMAP;True;431240
1558358;RS;Sul;EMAD I;True;430760
1558374;RS;Sul;EMAP;True;430760
428965;RS;Sul;EMAP;True;431440
428981;RS;Sul;EMAD I;True;431440
429007;RS;Sul;EMAD I;True;431440
1548530;RS;Sul;EMAD II;True;431450
1683829;RS;Sul;EMAD I;True;430770
2275384;RS;Sul;EMAD I;True;431870
435384;RS;Sul;EMAD I;False;432000
1717294;RS;Sul;EMAD II;True;431337
1541110;RS;Sul;EMAD I;True;431490
1598872;RS;Sul;EMAP;True;431490
1598880;RS;Sul;EMAP;True;431490
1570455;RS;Sul;EMAD I;True;431490
1710419;RS;Sul;EMAP;False;430460
1598856;RS;Sul;EMAD I;True;431490
1562266;RS;Sul;EMAD I;False;431720
2284189;RS;Sul;EMAD I;True;430700
1701401;RS;Sul;EMAD II;False;431033
1598864;RS;Sul;EMAD I;True;431490
2298961;RS;Sul;EMAP;True;430390
1710397;RS;Sul;EMAD I;False;430460
1470485;RS;Sul;EMAD I;False;431340
1697633;RS;Sul;EMAD II;True;430466
1495631;RS;Sul;EMAD I;False;430510
1529528;RS;Sul;EMAD I;False;432260
1529854;RS;Sul;EMAP;False;432260
1675028;RS;Sul;EMAD I;False;431800
1541137;RS;Sul;EMAD I;False;431490
1541145;RS;Sul;EMAD I;False;431490
1541153;RS;Sul;EMAD I;False;431490
1541161;RS;Sul;EMAD I;False;431490
1674382;RS;Sul;EMAD I;False;431490
1674390;RS;Sul;EMAP;True;431490
2214318;RS;Sul;EMAD I;False;430463
2201089;RS;Sul;EMAD I;False;430440
1710141;RS;Sul;EMAD I;True;430160
2195739;RS;Sul;EMAD II;True;430660
2266938;RS;Sul;EMAD II;True;430750
1562568;RS;Sul;EMAD I;False;432160
1701592;RS;Sul;EMAD II;True;430940
2311321;RS;Sul;EMAD I;False;432120
2489236;RS;Sul;EMAD I;True;430910
1562282;RS;Sul;EMAD I;False;431680
1562290;RS;Sul;EMAP;False;431680
1710389;RS;Sul;EMAD I;False;430460
