SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
2528525;SC;Sul;EMAD II;True;421630
2536471;SC;Sul;EMAD II;True;421915
2524333;SC;Sul;EMAD I;True;420730
2524368;SC;Sul;EMAP;True;420730
1510347;SC;Sul;EMAD I;True;420230
2244748;SC;Sul;EMAD I;False;420750
1681184;SC;Sul;EMAP;True;420930
1681176;SC;Sul;EMAD I;True;420930
1495933;SC;Sul;EMAD II;True;421050
2170191;SC;Sul;EMAP;True;421190
1660292;SC;Sul;EMAD II;True;420395
1534882;SC;Sul;EMAD I;False;420420
1579819;SC;Sul;EMAP;True;420420
1680315;SC;Sul;EMAP;True;420290
1680323;SC;Sul;EMAD I;True;420290
2277719;SC;Sul;EMAD II;True;421770
2269252;SC;Sul;EMAD II;True;421170
2244284;SC;Sul;EMAD I;False;421930
2293595;SC;Sul;EMAP;True;421930
401897;SC;Sul;EMAD I;True;420240
2170183;SC;Sul;EMAD I;True;421190
1581120;SC;Sul;EMAD I;True;420910
401889;SC;Sul;EMAD I;True;420240
2170396;SC;Sul;EMAD I;True;421190
2284987;SC;Sul;EMAP;True;420880
2187582;SC;Sul;EMAD II;True;420880
1680579;SC;Sul;EMAD I;False;420930
2312212;SC;Sul;EMAD II;True;421320
2205645;SC;Sul;EMAD I;False;420460
2205653;SC;Sul;EMAD I;False;420460
2205661;SC;Sul;EMAP;True;420460
1511572;SC;Sul;EMAD I;False;420890
2273020;SC;Sul;EMAD I;True;420700
2273047;SC;Sul;EMAP;False;420700
2243601;SC;Sul;EMAD II;True;421570
1529269;SC;Sul;EMAD I;True;420240
401870;SC;Sul;EMAP;True;420240
2131382;SC;Sul;EMAD I;False;420910
1584626;SC;Sul;EMAP;True;420910
2269201;SC;Sul;EMAD I;False;420830
2166089;SC;Sul;EMAD I;True;421950
2224240;SC;Sul;EMAD II;True;420280
2224259;SC;Sul;EMAP;True;420280
1533940;SC;Sul;EMAD I;False;420590
2292106;SC;Sul;EMAD I;False;421820
1524402;SC;Sul;EMAD I;False;420420
400386;SC;Sul;EMAD I;False;420140
