CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
420140;SC;1;EMAD I;Araranguá
420230;SC;1;EMAD I;Biguaçu
420240;SC;4;EMAD I, EMAP;Blumenau
420280;SC;2;EMAD II, EMAP;Braço do Norte
420290;SC;2;EMAD I, EMAP;Brusque
420395;SC;1;EMAD II;Capivari de Baixo
420420;SC;3;EMAD I, EMAP;Chapecó
420460;SC;3;EMAD I, EMAP;Criciúma
420590;SC;1;EMAD I;Gaspar
420700;SC;2;EMAD I, EMAP;Içara
420730;SC;2;EMAD I, EMAP;Imbituba
420750;SC;1;EMAD I;Indaial
420830;SC;1;EMAD I;Itapema
420880;SC;2;EMAD II, EMAP;Jaguaruna
420890;SC;1;EMAD I;Jaraguá do Sul
420910;SC;3;EMAD I, EMAP;Joinville
420930;SC;3;EMAD I, EMAP;Lages
421050;SC;1;EMAD II;Maravilha
421170;SC;1;EMAD II;Orleans
421190;SC;3;EMAD I, EMAP;Palhoça
421320;SC;1;EMAD II;Pomerode
421570;SC;1;EMAD II;Santo Amaro da Imperatriz
421630;SC;1;EMAD II;São João Batista
421770;SC;1;EMAD II;Sombrio
421820;SC;1;EMAD I;Timbó
421915;SC;1;EMAD II;Vargem
421930;SC;2;EMAD I, EMAP;Videira
421950;SC;1;EMAD I;Xanxerê
