SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1618083;SE;Nordeste;EMAP;True;280710
1618075;SE;Nordeste;EMAD I;True;280710
2244527;SE;Nordeste;EMAP;True;280450
2244535;SE;Nordeste;EMAD II;True;280450
2520400;SE;Nordeste;EMAP-R;True;280600
1626701;SE;Nordeste;EMAD I;True;280480
1627244;SE;Nordeste;EMAP;True;280480
1675974;SE;Nordeste;EMAD I;True;280480
2534444;SE;Nordeste;EMAD II;True;280560
2534460;SE;Nordeste;EMAP;True;280560
2140330;SE;Nordeste;EMAD I;True;280030
2534762;SE;Nordeste;EMAP-R;False;280330
2207354;SE;Nordeste;EMAP;True;280300
1677578;SE;Nordeste;EMAD II;True;280550
1677586;SE;Nordeste;EMAP;True;280550
2255782;SE;Nordeste;EMAD II;True;280130
2518058;SE;Nordeste;EMAP-R;False;280445
1706861;SE;Nordeste;EMAD I;True;280670
1706888;SE;Nordeste;EMAP;True;280670
1716336;SE;Nordeste;EMAD II;True;280360
2309394;SE;Nordeste;EMAP;True;280360
2207346;SE;Nordeste;EMAD I;False;280300
2194465;SE;Nordeste;EMAP;True;280067
2514443;SE;Nordeste;EMAP-R;True;280170
2484846;SE;Nordeste;EMAP-R;True;280370
2140314;SE;Nordeste;EMAD I;True;280030
2333171;SE;Nordeste;EMAD II;True;280067
2172267;SE;Nordeste;EMAD I;True;280290
2172275;SE;Nordeste;EMAP;True;280290
2221055;SE;Nordeste;EMAP;True;280460
2212684;SE;Nordeste;EMAP;True;280020
2212617;SE;Nordeste;EMAD II;True;280020
2140322;SE;Nordeste;EMAP;True;280030
2220636;SE;Nordeste;EMAD II;True;280460
1710095;SE;Nordeste;EMAD I;True;280350
1710109;SE;Nordeste;EMAP;True;280350
1679023;SE;Nordeste;EMAD I;True;280740
1679031;SE;Nordeste;EMAP;True;280740
1675591;SE;Nordeste;EMAD II;True;280620
1677012;SE;Nordeste;EMAP;True;280620
1677411;SE;Nordeste;EMAD II;True;280320
1677500;SE;Nordeste;EMAP;True;280320
1675230;SE;Nordeste;EMAD II;True;280540
1675265;SE;Nordeste;EMAP;True;280540
1510037;SE;Nordeste;EMAD II;True;280120
1510045;SE;Nordeste;EMAP;True;280120
2283794;SE;Nordeste;EMAP;True;280130
2140349;SE;Nordeste;EMAD I;True;280030
1679783;SE;Nordeste;EMAD I;True;280210
2487624;SE;Nordeste;EMAD I;True;280290
