SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1504444;AL;Nordeste;EMAD I;False;270140
1504452;AL;Nordeste;EMAP;True;270140
1675354;AL;Nordeste;EMAD II;True;270210
1704575;AL;Nordeste;EMAP;True;270210
2528878;AL;Nordeste;EMAP-R;True;270790
1671618;AL;Nordeste;EMAD II;True;270890
2536188;AL;Nordeste;EMAP-R;True;270060
2524716;AL;Nordeste;EMAP-R;False;270560
2528711;AL;Nordeste;EMAD I;False;270430
1566334;AL;Nordeste;EMAD II;True;270400
1566326;AL;Nordeste;EMAP;True;270400
1485199;AL;Nordeste;EMAD I;True;270030
1705903;AL;Nordeste;EMAD II;True;270380
1705911;AL;Nordeste;EMAP;False;270380
1656554;AL;Nordeste;EMAD I;True;270430
1656562;AL;Nordeste;EMAD I;False;270430
1704001;AL;Nordeste;EMAD I;True;270670
1704028;AL;Nordeste;EMAP;True;270670
1485180;AL;Nordeste;EMAP;False;270030
1485172;AL;Nordeste;EMAD I;True;270030
1484362;AL;Nordeste;EMAD I;True;270430
1667610;AL;Nordeste;EMAP;True;270420
1667629;AL;Nordeste;EMAD II;True;270420
2284200;AL;Nordeste;EMAD II;True;270235
2284219;AL;Nordeste;EMAP;True;270235
2283026;AL;Nordeste;EMAD II;False;270310
2283034;AL;Nordeste;EMAP;False;270310
1708694;AL;Nordeste;EMAD II;True;270840
1708716;AL;Nordeste;EMAP;True;270840
2504561;AL;Nordeste;EMAP-R;True;270375
1518798;AL;Nordeste;EMAD I;True;270040
1518801;AL;Nordeste;EMAP;True;270040
1675508;AL;Nordeste;EMAP;True;270170
1714805;AL;Nordeste;EMAD II;True;270130
1714813;AL;Nordeste;EMAP;True;270130
1678973;AL;Nordeste;EMAD II;True;270920
1704818;AL;Nordeste;EMAP;True;270920
2169215;AL;Nordeste;EMAD I;True;270230
1700928;AL;Nordeste;EMAP;True;270510
1484052;AL;Nordeste;EMAD I;False;270430
1654144;AL;Nordeste;EMAD II;True;270750
1654195;AL;Nordeste;EMAP;False;270750
2280868;AL;Nordeste;EMAD II;False;270850
1582003;AL;Nordeste;EMAP;True;270290
1671626;AL;Nordeste;EMAP;False;270890
1698583;AL;Nordeste;EMAD II;True;270690
1698591;AL;Nordeste;EMAP;True;270690
1522183;AL;Nordeste;EMAD I;True;270930
1522191;AL;Nordeste;EMAP;True;270930
1500139;AL;Nordeste;EMAD I;True;270430
1705946;AL;Nordeste;EMAD II;True;270550
1508180;AL;Nordeste;EMAD I;True;270630
1508199;AL;Nordeste;EMAP;True;270630
1700049;AL;Nordeste;EMAD II;True;270730
1700057;AL;Nordeste;EMAP;True;270730
1699636;AL;Nordeste;EMAD II;True;270010
1699644;AL;Nordeste;EMAP;True;270010
1654578;AL;Nordeste;EMAD I;True;270770
2245914;AL;Nordeste;EMAP;True;270230
1515594;AL;Nordeste;EMAD II;True;270290
1675494;AL;Nordeste;EMAD II;True;270170
1699989;AL;Nordeste;EMAP;True;270570
1661833;AL;Nordeste;EMAP;True;270830
1661841;AL;Nordeste;EMAD II;True;270830
2295512;AL;Nordeste;EMAD II;True;270100
1509977;AL;Nordeste;EMAD I;True;270860
1509993;AL;Nordeste;EMAP;True;270860
1484060;AL;Nordeste;EMAD I;False;270430
1484095;AL;Nordeste;EMAP;True;270430
1484087;AL;Nordeste;EMAD I;True;270430
1484109;AL;Nordeste;EMAP;True;270430
1484079;AL;Nordeste;EMAD I;True;270430
167010;AL;Nordeste;EMAP;True;270470
1503596;AL;Nordeste;EMAD I;True;270915
1503618;AL;Nordeste;EMAP;True;270915
1654969;AL;Nordeste;EMAD II;True;270710
1654977;AL;Nordeste;EMAP;True;270710
1654586;AL;Nordeste;EMAP;True;270770
1676636;AL;Nordeste;EMAD II;True;270450
1769650;AL;Nordeste;EMAP;True;270450
1699903;AL;Nordeste;EMAD II;True;270570
1700901;AL;Nordeste;EMAD II;True;270510
1675478;AL;Nordeste;EMAD II;True;270640
1675486;AL;Nordeste;EMAP;True;270640
1535811;AL;Nordeste;EMAD II;True;270940
1535838;AL;Nordeste;EMAP;True;270940
1678310;AL;Nordeste;EMAD I;False;270240
2324784;AL;Nordeste;EMAD II;True;270320
2324792;AL;Nordeste;EMAP;True;270320
1650327;AL;Nordeste;EMAD II;True;270880
1650793;AL;Nordeste;EMAP;False;270880
1678302;AL;Nordeste;EMAP;True;270240
1656708;AL;Nordeste;EMAD I;False;270430
1656775;AL;Nordeste;EMAP;True;270430
2301644;AL;Nordeste;EMAP;False;270850
1500562;AL;Nordeste;EMAP;True;270800
1500554;AL;Nordeste;EMAD I;True;270800
1705954;AL;Nordeste;EMAP;True;270550
167029;AL;Nordeste;EMAD I;False;270470
