CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
270010;AL;2;EMAD II, EMAP;Água Branca
270030;AL;3;EMAD I, EMAP;Arapiraca
270040;AL;2;EMAD I, EMAP;Atalaia
270060;AL;1;EMAP-R;Barra de São Miguel
270100;AL;1;EMAD II;Boca da Mata
270130;AL;2;EMAD II, EMAP;Cajueiro
270140;AL;2;EMAD I, EMAP;Campo Alegre
270170;AL;2;EMAD II, EMAP;Capela
270210;AL;2;EMAD II, EMAP;Colônia Leopoldina
270230;AL;2;EMAD I, EMAP;Coruripe
270235;AL;2;EMAD II, EMAP;Craíbas
270240;AL;2;EMAD I, EMAP;Delmiro Gouveia
270290;AL;2;EMAD II, EMAP;Girau do Ponciano
270310;AL;2;EMAD II, EMAP;Igaci
270320;AL;2;EMAD II, EMAP;Igreja Nova
270375;AL;1;EMAP-R;Jequiá da Praia
270380;AL;2;EMAD II, EMAP;Joaquim Gomes
270400;AL;2;EMAD II, EMAP;Junqueiro
270420;AL;2;EMAD II, EMAP;Limoeiro de Anadia
270430;AL;13;EMAD I, EMAP;Maceió
270450;AL;2;EMAD II, EMAP;Maragogi
270470;AL;2;EMAD I, EMAP;Marechal Deodoro
270510;AL;2;EMAD II, EMAP;Matriz de Camaragibe
270550;AL;2;EMAD II, EMAP;Murici
270560;AL;1;EMAP-R;Novo Lino
270570;AL;2;EMAD II, EMAP;Olho d'Água das Flores
270630;AL;2;EMAD I, EMAP;Palmeira dos Índios
270640;AL;2;EMAD II, EMAP;Pão de Açúcar
270670;AL;2;EMAD I, EMAP;Penedo
270690;AL;2;EMAD II, EMAP;Pilar
270710;AL;2;EMAD II, EMAP;Piranhas
270730;AL;2;EMAD II, EMAP;Porto Calvo
270750;AL;2;EMAD II, EMAP;Porto Real do Colégio
270770;AL;2;EMAD I, EMAP;Rio Largo
270790;AL;1;EMAP-R;Santa Luzia do Norte
270800;AL;2;EMAD I, EMAP;Santana do Ipanema
270830;AL;2;EMAD II, EMAP;São José da Laje
270840;AL;2;EMAD II, EMAP;São José da Tapera
270850;AL;2;EMAD II, EMAP;São Luís do Quitunde
270860;AL;2;EMAD I, EMAP;São Miguel dos Campos
270880;AL;2;EMAD II, EMAP;São Sebastião
270890;AL;2;EMAD II, EMAP;Satuba
270915;AL;2;EMAD I, EMAP;Teotônio Vilela
270920;AL;2;EMAD II, EMAP;Traipu
270930;AL;2;EMAD I, EMAP;União dos Palmares
270940;AL;2;EMAD II, EMAP;Viçosa
