SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
2286890;AM;Norte;EMAP;True;130190
1614878;AM;Norte;EMAD I;True;130260
1524364;AM;Norte;EMAP;True;130260
1524372;AM;Norte;EMAD I;True;130260
2418614;AM;Norte;EMAD I;True;130260
2418622;AM;Norte;EMAD I;True;130260
2445964;AM;Norte;EMAD I;True;130260
2518325;AM;Norte;EMAD I;False;130270
2525593;AM;Norte;EMAD II;True;130390
1542281;AM;Norte;EMAD I;True;130185
2256088;AM;Norte;EMAD I;True;130260
2418649;AM;Norte;EMAD I;True;130260
2418657;AM;Norte;EMAP;True;130260
2418630;AM;Norte;EMAD I;True;130260
2431149;AM;Norte;EMAD I;True;130260
2395207;AM;Norte;EMAP;True;130353
2316285;AM;Norte;EMAD II;True;130353
2286874;AM;Norte;EMAD I;True;130190
2185326;AM;Norte;EMAD I;True;130260
1710656;AM;Norte;EMAD I;False;130060
2256010;AM;Norte;EMAP;True;130260
1708856;AM;Norte;EMAD I;False;130240
1708864;AM;Norte;EMAP;True;130240
2256029;AM;Norte;EMAD I;True;130260
1576941;AM;Norte;EMAD I;True;130260
2256002;AM;Norte;EMAD I;True;130260
1541250;AM;Norte;EMAD I;False;130406
1541269;AM;Norte;EMAP;True;130406
2256096;AM;Norte;EMAP;True;130260
1515748;AM;Norte;EMAD I;True;130260
1515756;AM;Norte;EMAP;True;130260
1542303;AM;Norte;EMAP;True;130185
1488945;AM;Norte;EMAD I;True;130260
1524356;AM;Norte;EMAD I;True;130260
1488953;AM;Norte;EMAP;True;130260
2228084;AM;Norte;EMAD I;True;130260
2532018;AM;Norte;EMAD I;False;130120
2532093;AM;Norte;EMAP;True;130120
1524348;AM;Norte;EMAD I;True;130260
