SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1643428;BA;Nordeste;EMAD I;True;290460
210137;BA;Nordeste;EMAD I;False;292740
189901;BA;Nordeste;EMAD I;True;291072
189898;BA;Nordeste;EMAP;True;291072
1696076;BA;Nordeste;EMAD I;True;290320
1698656;BA;Nordeste;EMAD II;False;291450
1698664;BA;Nordeste;EMAP;True;291450
1589768;BA;Nordeste;EMAD I;True;292740
2240548;BA;Nordeste;EMAD I;False;291370
2244101;BA;Nordeste;EMAD II;True;290580
2244047;BA;Nordeste;EMAP;True;290580
2524732;BA;Nordeste;EMAP-R;False;292940
2457512;BA;Nordeste;EMAD II;True;290680
2488418;BA;Nordeste;EMAD II;True;292290
2488426;BA;Nordeste;EMAP;False;292290
2519356;BA;Nordeste;EMAD I;False;292990
2519364;BA;Nordeste;EMAP;True;292990
2533618;BA;Nordeste;EMAP;False;292560
2520958;BA;Nordeste;EMAP-R;True;290260
2535610;BA;Nordeste;EMAP-R;True;292895
2491281;BA;Nordeste;EMAP-R;False;292760
2435845;BA;Nordeste;EMAD I;True;292740
2449951;BA;Nordeste;EMAD I;True;292740
2454289;BA;Nordeste;EMAD I;True;293190
2477718;BA;Nordeste;EMAP;False;291070
2477696;BA;Nordeste;EMAD I;False;291070
2532697;BA;Nordeste;EMAP-R;True;292420
1618857;BA;Nordeste;EMAD II;True;291160
2520990;BA;Nordeste;EMAP-R;False;290030
2438984;BA;Nordeste;EMAP;False;291120
2526921;BA;Nordeste;EMAP-R;False;290265
2327384;BA;Nordeste;EMAD II;True;290960
2327392;BA;Nordeste;EMAP;True;290960
2514516;BA;Nordeste;EMAD I;True;291400
2514524;BA;Nordeste;EMAP;False;291400
2451174;BA;Nordeste;EMAD II;False;290800
2524988;BA;Nordeste;EMAP-R;True;290035
2536145;BA;Nordeste;EMAP-R;True;290220
2225425;BA;Nordeste;EMAD II;True;292230
184748;BA;Nordeste;EMAD I;True;290570
1707388;BA;Nordeste;EMAP;True;290650
1707361;BA;Nordeste;EMAD I;False;290650
