CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
230020;CE;2;EMAD I, EMAP;Acaraú
230075;CE;2;EMAD I, EMAP;Amontada
230100;CE;2;EMAD I, EMAP;Aquiraz
230110;CE;2;EMAD I, EMAP;Aracati
230120;CE;1;EMAD II;Aracoiaba
230125;CE;1;EMAP-R;Ararendá
230170;CE;1;EMAD II;Aurora
230190;CE;2;EMAD I, EMAP;Barbalha
230210;CE;2;EMAD II, EMAP;Baturité
230220;CE;2;EMAD I, EMAP;Beberibe
230230;CE;2;EMAD II, EMAP;Bela Cruz
230240;CE;2;EMAD I, EMAP;Boa Viagem
230250;CE;2;EMAD I, EMAP;Brejo Santo
230280;CE;1;EMAD I;Canindé
230320;CE;2;EMAD II, EMAP;Caririaçu
230350;CE;2;EMAD I, EMAP;Cascavel
230365;CE;1;EMAP-R;Catunda
230370;CE;3;EMAD I, EMAP;Caucaia
230395;CE;1;EMAD II;Chorozinho
230420;CE;2;EMAD I, EMAP;Crato
230425;CE;2;EMAD II, EMAP;Cruz
230428;CE;2;EMAD I, EMAP;Eusébio
230440;CE;35;EMAD I, EMAP;Fortaleza
230470;CE;1;EMAD I;Granja
230495;CE;1;EMAD II;Guaiúba
230500;CE;2;EMAD I, EMAP;Guaraciaba do Norte
230523;CE;2;EMAD I, EMAP;Horizonte
230533;CE;1;EMAP-R;Ibicuitinga
230535;CE;2;EMAD II, EMAP;Icapuí
230540;CE;2;EMAD I, EMAP;Icó
230550;CE;1;EMAD I;Iguatu
230580;CE;2;EMAD I, EMAP;Ipu
230610;CE;1;EMAD II;Irauçuba
230625;CE;2;EMAD II, EMAP;Itaitinga
230630;CE;2;EMAD I, EMAP;Itapajé
230640;CE;2;EMAD I, EMAP;Itapipoca
230655;CE;1;EMAD I;Itarema
230660;CE;1;EMAD II;Itatira
230690;CE;2;EMAD II, EMAP;Jaguaribe
230700;CE;2;EMAD II, EMAP;Jaguaruana
230710;CE;1;EMAD II;Jardim
230725;CE;2;EMAD II, EMAP;Jijoca de Jericoacoara
230730;CE;5;EMAD I, EMAP;Juazeiro do Norte
230740;CE;1;EMAD II;Jucás
230750;CE;1;EMAD II;Lavras da Mangabeira
230760;CE;2;EMAD I, EMAP;Limoeiro do Norte
230765;CE;3;EMAD I, EMAP;Maracanaú
230770;CE;2;EMAD I, EMAP;Maranguape
230780;CE;2;EMAD II, EMAP;Marco
230810;CE;2;EMAD I, EMAP;Mauriti
230830;CE;2;EMAD II, EMAP;Milagres
230840;CE;1;EMAD II;Missão Velha
230860;CE;1;EMAP-R;Monsenhor Tabosa
230870;CE;2;EMAD I, EMAP;Morada Nova
230930;CE;2;EMAD II, EMAP;Nova Russas
230940;CE;1;EMAD II;Novo Oriente
230945;CE;2;EMAD II, EMAP;Ocara
230950;CE;2;EMAD II, EMAP;Orós
230960;CE;2;EMAD I, EMAP;Pacajus
230970;CE;2;EMAD I, EMAP;Pacatuba
231020;CE;2;EMAD II, EMAP;Paracuru
231025;CE;2;EMAD II, EMAP;Paraipaba
231050;CE;2;EMAD I, EMAP;Pedra Branca
231070;CE;2;EMAD II, EMAP;Pentecoste
231085;CE;1;EMAD II;Pindoretama
231100;CE;1;EMAP-R;Poranga
231126;CE;2;EMAD II, EMAP;Quiterianópolis
231130;CE;2;EMAD I, EMAP;Quixadá
231140;CE;2;EMAD I, EMAP;Quixeramobim
231150;CE;2;EMAD II, EMAP;Quixeré
231160;CE;2;EMAD II, EMAP;Redenção
231180;CE;2;EMAD I, EMAP;Russas
231240;CE;3;EMAD I, EMAP;São Gonçalo do Amarante
231270;CE;2;EMAD II, EMAP;Senador Pompeu
231290;CE;3;EMAD I, EMAP;Sobral
231310;CE;2;EMAD II, EMAP;Tabuleiro do Norte
231320;CE;2;EMAD II, EMAP;Tamboril
231330;CE;1;EMAD I;Tauá
231340;CE;1;EMAD I;Tianguá
231350;CE;2;EMAD I, EMAP;Trairi
231400;CE;2;EMAD I, EMAP;Várzea Alegre
231410;CE;2;EMAD I, EMAP;Viçosa do Ceará
