SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1562436;GO;Centro-Oeste;EMAD II;True;520890
1562444;GO;Centro-Oeste;EMAP;True;520890
1698311;GO;Centro-Oeste;EMAP;True;520330
1616676;GO;Centro-Oeste;EMAP;False;522140
1616668;GO;Centro-Oeste;EMAD I;False;522140
454710;GO;Centro-Oeste;EMAD I;True;520140
454745;GO;Centro-Oeste;EMAD I;False;520140
454737;GO;Centro-Oeste;EMAD I;False;520140
454729;GO;Centro-Oeste;EMAP;True;520140
1517139;GO;Centro-Oeste;EMAD I;False;520870
1517120;GO;Centro-Oeste;EMAP;True;520870
1535331;GO;Centro-Oeste;EMAD II;False;521450
1503804;GO;Centro-Oeste;EMAD II;True;521560
1503790;GO;Centro-Oeste;EMAP;True;521560
2166585;GO;Centro-Oeste;EMAD II;True;522000
1657089;GO;Centro-Oeste;EMAD I;True;521880
1657097;GO;Centro-Oeste;EMAD I;True;521880
1657100;GO;Centro-Oeste;EMAP;True;521880
1487582;GO;Centro-Oeste;EMAP;True;520025
1487590;GO;Centro-Oeste;EMAD I;False;520025
2445638;GO;Centro-Oeste;EMAP;True;521010
2516373;GO;Centro-Oeste;EMAP-R;True;521640
2513714;GO;Centro-Oeste;EMAD I;True;520110
2521733;GO;Centro-Oeste;EMAD II;True;520640
2292386;GO;Centro-Oeste;EMAD II;True;521308
1682571;GO;Centro-Oeste;EMAD II;True;521930
1682598;GO;Centro-Oeste;EMAP;True;521930
1682776;GO;Centro-Oeste;EMAD II;True;520545
1682784;GO;Centro-Oeste;EMAP;True;520545
2244438;GO;Centro-Oeste;EMAD II;False;520551
2241420;GO;Centro-Oeste;EMAP;True;520551
1683896;GO;Centro-Oeste;EMAD II;True;520910
1683918;GO;Centro-Oeste;EMAP;False;520910
1711881;GO;Centro-Oeste;EMAD II;True;520130
1711903;GO;Centro-Oeste;EMAP;True;520130
1483528;GO;Centro-Oeste;EMAD I;False;520800
1483536;GO;Centro-Oeste;EMAP;True;520800
1698303;GO;Centro-Oeste;EMAD II;True;520330
2516004;GO;Centro-Oeste;EMAP-R;True;521375
2485036;GO;Centro-Oeste;EMAP;False;521525
2497735;GO;Centro-Oeste;EMAD I;True;521880
2505827;GO;Centro-Oeste;EMAP-R;False;520470
2162997;GO;Centro-Oeste;EMAD I;False;520549
2166593;GO;Centro-Oeste;EMAP;True;522000
1515500;GO;Centro-Oeste;EMAD I;False;521250
1935461;GO;Centro-Oeste;EMAP;True;521250
2428431;GO;Centro-Oeste;EMAP;True;521380
2488892;GO;Centro-Oeste;EMAD I;True;521523
2164388;GO;Centro-Oeste;EMAD II;True;520735
2223414;GO;Centro-Oeste;EMAP;True;520735
2325888;GO;Centro-Oeste;EMAD I;False;520110
2384337;GO;Centro-Oeste;EMAD II;True;520970
2244411;GO;Centro-Oeste;EMAD II;False;522060
2384043;GO;Centro-Oeste;EMAD I;False;521380
2413353;GO;Centro-Oeste;EMAD I;False;520110
2413388;GO;Centro-Oeste;EMAP;True;520110
2252333;GO;Centro-Oeste;EMAD II;True;521010
2242370;GO;Centro-Oeste;EMAD II;True;521740
1696564;GO;Centro-Oeste;EMAD II;True;521730
1696580;GO;Centro-Oeste;EMAP;True;521730
2279282;GO;Centro-Oeste;EMAD I;False;521460
2279290;GO;Centro-Oeste;EMAP;False;521460
2256398;GO;Centro-Oeste;EMAD II;False;520920
1682172;GO;Centro-Oeste;EMAD I;True;520880
1698184;GO;Centro-Oeste;EMAP;True;520880
2169169;GO;Centro-Oeste;EMAD II;True;520540
2172631;GO;Centro-Oeste;EMAP;False;520540
1683365;GO;Centro-Oeste;EMAD I;True;521190
1683373;GO;Centro-Oeste;EMAP;True;521190
1531220;GO;Centro-Oeste;EMAD II;True;521710
1531255;GO;Centro-Oeste;EMAP;True;521710
2244144;GO;Centro-Oeste;EMAD I;False;521150
2227975;GO;Centro-Oeste;EMAD II;True;520013
2227983;GO;Centro-Oeste;EMAP;True;520013
2242265;GO;Centro-Oeste;EMAP;True;521740
1617605;GO;Centro-Oeste;EMAD II;True;520030
1617613;GO;Centro-Oeste;EMAP;True;520030
2258382;GO;Centro-Oeste;EMAD II;True;520010
2258390;GO;Centro-Oeste;EMAP;True;520010
1535994;GO;Centro-Oeste;EMAD I;False;520450
1536001;GO;Centro-Oeste;EMAP;True;520450
2283999;GO;Centro-Oeste;EMAD I;False;521180
1491946;GO;Centro-Oeste;EMAD I;True;520620
1491954;GO;Centro-Oeste;EMAP;True;520620
1682873;GO;Centro-Oeste;EMAP;False;520995
1583778;GO;Centro-Oeste;EMAD I;False;520870
1499114;GO;Centro-Oeste;EMAD I;True;521310
1499149;GO;Centro-Oeste;EMAP;True;521310
1681613;GO;Centro-Oeste;EMAD II;True;522010
1681621;GO;Centro-Oeste;EMAP;True;522010
2156377;GO;Centro-Oeste;EMAD II;True;521830
1600362;GO;Centro-Oeste;EMAD I;False;520870
2243245;GO;Centro-Oeste;EMAD II;True;521090
2243253;GO;Centro-Oeste;EMAP;True;521090
2094495;GO;Centro-Oeste;EMAP;False;521570
1709704;GO;Centro-Oeste;EMAD II;True;521570
2256401;GO;Centro-Oeste;EMAP;True;520920
1535315;GO;Centro-Oeste;EMAP;True;521450
2284693;GO;Centro-Oeste;EMAP;True;520870
