CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
520010;GO;2;EMAD II, EMAP;Abadiânia
520013;GO;2;EMAD II, EMAP;Acreúna
520025;GO;3;EMAD I, EMAP;Águas Lindas de Goiás
520030;GO;2;EMAD II, EMAP;Alexânia
520110;GO;4;EMAD I, EMAP;Anápolis
520130;GO;2;EMAD II, EMAP;Anicuns
520140;GO;4;EMAD I, EMAP;Aparecida de Goiânia
520170;GO;2;EMAD II, EMAP;Aragarças
520330;GO;2;EMAD II, EMAP;Bela Vista de Goiás
520350;GO;2;EMAD II, EMAP;Bom Jesus de Goiás
520450;GO;2;EMAD I, EMAP;Caldas Novas
520470;GO;1;EMAP-R;Campinorte
520540;GO;2;EMAD II, EMAP;Ceres
520545;GO;2;EMAD II, EMAP;Cezarina
520549;GO;1;EMAD I;Cidade Ocidental
520551;GO;2;EMAD II, EMAP;Cocalzinho de Goiás
520620;GO;2;EMAD I, EMAP;Cristalina
520640;GO;1;EMAD II;Crixás
520735;GO;2;EMAD II, EMAP;Edealina
520790;GO;2;EMAD II, EMAP;Flores de Goiás
520800;GO;2;EMAD I, EMAP;Formosa
520860;GO;2;EMAD I, EMAP;Goianésia
520870;GO;13;EMAD I, EMAP;Goiânia
520880;GO;2;EMAD I, EMAP;Goianira
520890;GO;2;EMAD II, EMAP;Goiás
520910;GO;2;EMAD II, EMAP;Goiatuba
520920;GO;2;EMAD II, EMAP;Guapó
520970;GO;1;EMAD II;Hidrolândia
520995;GO;2;EMAD II, EMAP;Indiara
521000;GO;2;EMAD I, EMAP;Inhumas
521010;GO;2;EMAD II, EMAP;Ipameri
521040;GO;2;EMAD I, EMAP;Itaberaí
521090;GO;2;EMAD II, EMAP;Itapaci
521120;GO;2;EMAD II, EMAP;Itapuranga
521150;GO;1;EMAD I;Itumbiara
521180;GO;1;EMAD I;Jaraguá
521190;GO;2;EMAD I, EMAP;Jataí
521250;GO;3;EMAD I, EMAP;Luziânia
521308;GO;1;EMAD II;Minaçu
521310;GO;2;EMAD I, EMAP;Mineiros
521375;GO;1;EMAP-R;Montividiu
521380;GO;2;EMAD I, EMAP;Morrinhos
521450;GO;2;EMAD II, EMAP;Nerópolis
521460;GO;2;EMAD I, EMAP;Niquelândia
521523;GO;3;EMAD I, EMAP;Novo Gama
521525;GO;1;EMAP;Novo Planalto
521560;GO;2;EMAD II, EMAP;Padre Bernardo
521570;GO;2;EMAD II, EMAP;Palmeiras de Goiás
521640;GO;1;EMAP-R;Paraúna
521710;GO;2;EMAD II, EMAP;Piracanjuba
521730;GO;2;EMAD II, EMAP;Pirenópolis
521740;GO;2;EMAD II, EMAP;Pires do Rio
521760;GO;2;EMAD I, EMAP;Planaltina
521800;GO;1;EMAD I;Porangatu
521830;GO;1;EMAD II;Posse
521850;GO;2;EMAD I, EMAP;Quirinópolis
521880;GO;4;EMAD I, EMAP;Rio Verde
521890;GO;2;EMAD II, EMAP;Rubiataba
521930;GO;2;EMAD II, EMAP;Santa Helena de Goiás
522000;GO;2;EMAD II, EMAP;São João d'Aliança
522010;GO;2;EMAD II, EMAP;São Luís de Montes Belos
522020;GO;2;EMAD II, EMAP;São Miguel do Araguaia
522040;GO;2;EMAD II, EMAP;São Simão
522060;GO;1;EMAD II;Silvânia
522140;GO;2;EMAD I, EMAP;Trindade
522160;GO;2;EMAD I, EMAP;Uruaçu
522185;GO;3;EMAD I, EMAP;Valparaíso de Goiás
