CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
210005;MA;2;EMAD I, EMAP;Açailândia
210030;MA;2;EMAD II, EMAP;Aldeias Altas
210060;MA;2;EMAD II, EMAP;Amarante do Maranhão
210125;MA;1;EMAP-R;Bacabeira
210160;MA;1;EMAD I;Barra do Corda
210230;MA;2;EMAD II, EMAP;Buriti Bravo
210232;MA;2;EMAD I, EMAP;Buriticupu
210255;MA;1;EMAP-R;Campestre do Maranhão
210300;MA;3;EMAD I, EMAP;Caxias
210330;MA;2;EMAD I, EMAP;Codó
210350;MA;2;EMAD I, EMAP;Colinas
210360;MA;2;EMAD I, EMAP;Coroatá
210380;MA;2;EMAD II, EMAP;Dom Pedro
210409;MA;1;EMAD II;Formosa da Serra Negra
210420;MA;2;EMAD II, EMAP;Fortuna
210440;MA;2;EMAD II, EMAP;Gonçalves Dias
210480;MA;2;EMAD I, EMAP;Grajaú
210530;MA;3;EMAD I, EMAP;Imperatriz
210550;MA;1;EMAP;João Lisboa
210570;MA;2;EMAD I, EMAP;Lago da Pedra
210600;MA;1;EMAP-R;Lima Campos
210660;MA;2;EMAD II, EMAP;Matões
210670;MA;2;EMAD II, EMAP;Mirador
210720;MA;1;EMAP-R;Nina Rodrigues
210750;MA;2;EMAD I, EMAP;Paço do Lumiar
210770;MA;2;EMAD II, EMAP;Paraibano
210800;MA;2;EMAD II, EMAP;Pastos Bons
210820;MA;2;EMAD II, EMAP;Pedreiras
210845;MA;2;EMAD II, EMAP;Peritoró
210860;MA;2;EMAD I, EMAP;Pinheiro
210870;MA;1;EMAD II;Pio XII
210900;MA;2;EMAD II, EMAP;Porto Franco
211020;MA;2;EMAD II, EMAP;Santa Rita
211070;MA;2;EMAD II, EMAP;São Domingos do Maranhão
211090;MA;1;EMAP-R;São Francisco do Maranhão
211107;MA;1;EMAP-R;São João do Soter
211110;MA;2;EMAD II, EMAP;São João dos Patos
211120;MA;2;EMAD I, EMAP;São José de Ribamar
211130;MA;12;EMAD I, EMAP;São Luís
211150;MA;2;EMAD I, EMAP;São Mateus do Maranhão
211220;MA;3;EMAD I, EMAP;Timon
211230;MA;1;EMAD I;Tuntum
211290;MA;1;EMAD II;Vitória do Mearim
211400;MA;2;EMAD I, EMAP;Zé Doca
