SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
2286904;MG;Sudeste;EMAD I;False;310730
2286912;MG;Sudeste;EMAP;True;310730
1564536;MG;Sudeste;EMAD II;True;316800
1548344;MG;Sudeste;EMAP;True;316800
277231;MG;Sudeste;EMAP;True;317070
1541544;MG;Sudeste;EMAD II;False;313505
1541552;MG;Sudeste;EMAP;False;313505
1656678;MG;Sudeste;EMAP;True;310620
2247941;MG;Sudeste;EMAD I;True;313130
2534746;MG;Sudeste;EMAD II;True;314970
2534754;MG;Sudeste;EMAP;True;314970
2451824;MG;Sudeste;EMAP;True;310340
224642;MG;Sudeste;EMAD I;False;310620
2246600;MG;Sudeste;EMAD II;True;312430
2529386;MG;Sudeste;EMAP-R;True;314490
2518023;MG;Sudeste;EMAD II;False;311430
2537400;MG;Sudeste;EMAP-R;True;314467
2528509;MG;Sudeste;EMAP-R;True;316770
2526166;MG;Sudeste;EMAP-R;True;312490
2541165;MG;Sudeste;EMAP-R;False;315920
2487160;MG;Sudeste;EMAP-R;False;310360
2541025;MG;Sudeste;EMAP-R;True;316900
230049;MG;Sudeste;EMAD I;False;310620
2493322;MG;Sudeste;EMAP-R;True;312300
2244357;MG;Sudeste;EMAD II;True;316710
2492679;MG;Sudeste;EMAP-R;False;315950
2534894;MG;Sudeste;EMAP-R;False;313507
2515539;MG;Sudeste;EMAP-R;True;312520
2510170;MG;Sudeste;EMAP-R;True;312890
2516764;MG;Sudeste;EMAD I;False;314520
2489864;MG;Sudeste;EMAP-R;False;312680
2489791;MG;Sudeste;EMAD II;True;311440
2522535;MG;Sudeste;EMAP-R;True;310180
2402955;MG;Sudeste;EMAD II;True;315400
2402963;MG;Sudeste;EMAP;True;315400
2516438;MG;Sudeste;EMAP;False;310285
2524872;MG;Sudeste;EMAP-R;True;312730
2511878;MG;Sudeste;EMAP-R;False;313700
2530953;MG;Sudeste;EMAP;False;314520
2522810;MG;Sudeste;EMAD II;False;313960
2522829;MG;Sudeste;EMAP;False;313960
2526654;MG;Sudeste;EMAP-R;False;315000
2524945;MG;Sudeste;EMAP-R;True;311570
2533073;MG;Sudeste;EMAP-R;True;316950
2526778;MG;Sudeste;EMAP-R;True;317150
2520370;MG;Sudeste;EMAP-R;True;312220
2167956;MG;Sudeste;EMAD II;True;313270
275565;MG;Sudeste;EMAD I;True;317010
1484761;MG;Sudeste;EMAD I;True;316370
1484788;MG;Sudeste;EMAP;True;316370
2491737;MG;Sudeste;EMAP-R;False;315820
1552139;MG;Sudeste;EMAP;True;317020
276375;MG;Sudeste;EMAP;True;317020
1656643;MG;Sudeste;EMAD I;False;310620
2220059;MG;Sudeste;EMAP;True;310900
1709453;MG;Sudeste;EMAD I;True;317010
1709224;MG;Sudeste;EMAD II;True;315220
1579843;MG;Sudeste;EMAP;True;316553
1589849;MG;Sudeste;EMAD I;True;311860
1676245;MG;Sudeste;EMAD I;True;311860
1676261;MG;Sudeste;EMAP;True;311860
