SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
2462877;MT;Centro-Oeste;EMAP;True;510340
1515780;MT;Centro-Oeste;EMAD I;True;510840
1515837;MT;Centro-Oeste;EMAP;True;510840
2216299;MT;Centro-Oeste;EMAP;True;510340
1567888;MT;Centro-Oeste;EMAD II;True;510267
2184257;MT;Centro-Oeste;EMAD II;True;510335
1593706;MT;Centro-Oeste;EMAP;True;510180
2475340;MT;Centro-Oeste;EMAD II;True;510630
2487403;MT;Centro-Oeste;EMAP;True;510630
2360810;MT;Centro-Oeste;EMAD I;True;510704
1705210;MT;Centro-Oeste;EMAD I;False;510340
1705164;MT;Centro-Oeste;EMAD I;False;510340
2452251;MT;Centro-Oeste;EMAP;True;510890
2458160;MT;Centro-Oeste;EMAD II;True;510350
1705156;MT;Centro-Oeste;EMAD I;True;510340
1705121;MT;Centro-Oeste;EMAD I;False;510340
2372967;MT;Centro-Oeste;EMAP;True;510704
1593714;MT;Centro-Oeste;EMAD I;True;510180
2202719;MT;Centro-Oeste;EMAP;True;510267
2215470;MT;Centro-Oeste;EMAD I;False;510760
2215578;MT;Centro-Oeste;EMAP;True;510760
1705067;MT;Centro-Oeste;EMAD I;True;510340
2321130;MT;Centro-Oeste;EMAD I;True;510025
1705172;MT;Centro-Oeste;EMAD I;True;510340
