CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
150010;PA;3;EMAD I, EMAP;Abaetetuba
150020;PA;2;EMAD I, EMAP;Acará
150034;PA;2;EMAD II, EMAP;Água Azul do Norte
150060;PA;3;EMAD I, EMAP;Altamira
150080;PA;4;EMAD I, EMAP;Ananindeua
150085;PA;2;EMAD II, EMAP;Anapu
150090;PA;2;EMAD I, EMAP;Augusto Corrêa
150095;PA;2;EMAD II, EMAP;Aurora do Pará
150130;PA;3;EMAD I, EMAP;Barcarena
150140;PA;8;EMAD I, EMAP;Belém
150150;PA;2;EMAD I, EMAP;Benevides
150157;PA;1;EMAP-R;Bom Jesus do Tocantins
150160;PA;1;EMAP-R;Bonito
150170;PA;4;EMAD I, EMAP;Bragança
150172;PA;2;EMAD II, EMAP;Brasil Novo
150178;PA;2;EMAD I, EMAP;Breu Branco
150180;PA;2;EMAD I, EMAP;Breves
150190;PA;2;EMAD II, EMAP;Bujaru
150195;PA;2;EMAD II, EMAP;Cachoeira do Piriá
150210;PA;2;EMAD I, EMAP;Cametá
150215;PA;2;EMAD I, EMAP;Canaã dos Carajás
150220;PA;2;EMAD I, EMAP;Capanema
150230;PA;2;EMAD I, EMAP;Capitão Poço
150240;PA;2;EMAD I, EMAP;Castanhal
150270;PA;2;EMAD I, EMAP;Conceição do Araguaia
150275;PA;2;EMAD II, EMAP;Concórdia do Pará
150293;PA;2;EMAD I, EMAP;Dom Eliseu
150307;PA;2;EMAD II, EMAP;Garrafão do Norte
150309;PA;2;EMAD II, EMAP;Goianésia do Pará
150320;PA;2;EMAD II, EMAP;Igarapé-Açu
150330;PA;2;EMAD I, EMAP;Igarapé-Miri
150345;PA;2;EMAD I, EMAP;Ipixuna do Pará
150350;PA;2;EMAD II, EMAP;Irituia
150370;PA;3;EMAD I, EMAP;Itupiranga
150380;PA;2;EMAD I, EMAP;Jacundá
150405;PA;2;EMAD II, EMAP;Mãe do Rio
150430;PA;2;EMAD II, EMAP;Maracanã
150442;PA;2;EMAD I, EMAP;Marituba
150445;PA;2;EMAD II, EMAP;Medicilândia
150470;PA;2;EMAD I, EMAP;Moju
150495;PA;2;EMAD II, EMAP;Nova Esperança do Piriá
150506;PA;2;EMAD I, EMAP;Novo Repartimento
150510;PA;1;EMAD I;Óbidos
150543;PA;2;EMAD II, EMAP;Ourilândia do Norte
150548;PA;2;EMAD I, EMAP;Pacajá
150550;PA;2;EMAD I, EMAP;Paragominas
150553;PA;3;EMAD I, EMAP;Parauapebas
150570;PA;2;EMAD II, EMAP;Ponta de Pedras
150590;PA;1;EMAD I;Porto de Moz
150600;PA;2;EMAD II, EMAP;Prainha
150613;PA;2;EMAD I, EMAP;Redenção
150620;PA;2;EMAD I, EMAP;Salinópolis
150635;PA;2;EMAD II, EMAP;Santa Bárbara do Pará
150650;PA;2;EMAD I, EMAP;Santa Izabel do Pará
150658;PA;2;EMAD II, EMAP;Santa Maria das Barreiras
150660;PA;2;EMAD II, EMAP;Santa Maria do Pará
150670;PA;2;EMAD I, EMAP;Santana do Araguaia
150680;PA;4;EMAD I, EMAP;Santarém
150720;PA;2;EMAD II, EMAP;São Domingos do Capim
150730;PA;2;EMAD I, EMAP;São Félix do Xingu
150745;PA;2;EMAD II, EMAP;São Geraldo do Araguaia
150760;PA;2;EMAD I, EMAP;São Miguel do Guamá
150780;PA;2;EMAD II, EMAP;Senador José Porfírio
150795;PA;2;EMAD I, EMAP;Tailândia
150808;PA;2;EMAD II, EMAP;Tucumã
150810;PA;2;EMAD I, EMAP;Tucuruí
150812;PA;2;EMAD I, EMAP;Ulianópolis
150815;PA;2;EMAD II, EMAP;Uruará
150820;PA;2;EMAD I, EMAP;Vigia
150835;PA;1;EMAP-R;Vitória do Xingu
150840;PA;2;EMAD I, EMAP;Xinguara
