CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
250010;PB;2;EMAD II, EMAP;Água Branca
250030;PB;1;EMAD II;Alagoa Grande
250040;PB;2;EMAD II, EMAP;Alagoa Nova
250050;PB;1;EMAP-R;Alagoinha
250053;PB;2;EMAD II, EMAP;Alcantil
250070;PB;2;EMAD II, EMAP;São João do Rio do Peixe
250077;PB;1;EMAP-R;Aparecida
250110;PB;2;EMAD II, EMAP;Areia
250135;PB;1;EMAP-R;Assunção
250150;PB;2;EMAD II, EMAP;Bananeiras
250157;PB;1;EMAP-R;Barra de Santana
250180;PB;2;EMAD I, EMAP;Bayeux
250190;PB;2;EMAD II, EMAP;Belém
250210;PB;2;EMAD II, EMAP;Boa Ventura
250220;PB;1;EMAP-R;Bom Jesus
250240;PB;2;EMAD II, EMAP;Bonito de Santa Fé
250250;PB;2;EMAD II, EMAP;Boqueirão
250260;PB;1;EMAP-R;Igaracy
250270;PB;1;EMAP-R;Borborema
250280;PB;2;EMAD II, EMAP;Brejo do Cruz
250300;PB;2;EMAD II, EMAP;Caaporã
250320;PB;2;EMAD I, EMAP;Cabedelo
250350;PB;1;EMAP-R;Cacimba de Dentro
250370;PB;2;EMAD I, EMAP;Cajazeiras
250380;PB;1;EMAP-R;Caldas Brandão
250400;PB;4;EMAD I, EMAP;Campina Grande
250410;PB;1;EMAP-R;Carrapateira
250440;PB;2;EMAD II, EMAP;Conceição
250450;PB;1;EMAP-R;Condado
250460;PB;2;EMAD II, EMAP;Conde
250470;PB;1;EMAP-R;Congo
250480;PB;2;EMAD II, EMAP;Coremas
250510;PB;2;EMAD II, EMAP;Cuité
250530;PB;1;EMAP-R;Curral Velho
250580;PB;1;EMAP-R;Duas Estradas
250590;PB;1;EMAP-R;Emas
250600;PB;2;EMAD II, EMAP;Esperança
250630;PB;2;EMAD I, EMAP;Guarabira
250660;PB;1;EMAP-R;Ibiara
250680;PB;2;EMAD II, EMAP;Ingá
250690;PB;2;EMAD II, EMAP;Itabaiana
250700;PB;2;EMAD II, EMAP;Itaporanga
250720;PB;1;EMAP-R;Itatuba
250730;PB;1;EMAP-R;Jacaraú
250750;PB;10;EMAD I, EMAP;João Pessoa
250770;PB;1;EMAD II;Juazeirinho
250790;PB;2;EMAD II, EMAP;Juripiranga
250800;PB;1;EMAP-R;Juru
250820;PB;1;EMAP-R;Lagoa de Dentro
250830;PB;1;EMAD II;Lagoa Seca
250840;PB;1;EMAP-R;Lastro
250855;PB;1;EMAP-R;Logradouro
250890;PB;2;EMAD I, EMAP;Mamanguape
250900;PB;1;EMAP;Manaíra
250940;PB;1;EMAP-R;Mogeiro
250970;PB;2;EMAD II, EMAP;Monteiro
250980;PB;1;EMAP-R;Mulungu
251070;PB;1;EMAP-R;Passagem
251080;PB;2;EMAD I, EMAP;Patos
251120;PB;2;EMAD II, EMAP;Pedras de Fogo
251130;PB;2;EMAD II, EMAP;Piancó
251150;PB;2;EMAD II, EMAP;Pilar
251170;PB;1;EMAP-R;Pilõezinhos
251210;PB;2;EMAD II, EMAP;Pombal
251230;PB;1;EMAD II;Princesa Isabel
251250;PB;2;EMAD I, EMAP;Queimadas
251275;PB;1;EMAP-R;Riachão do Bacamarte
251278;PB;1;EMAP-R;Riacho de Santo Antônio
251320;PB;2;EMAD II, EMAP;Santa Cruz
251330;PB;1;EMAP-R;Santa Helena
251335;PB;1;EMAP-R;Santa Inês
251340;PB;1;EMAP-R;Santa Luzia
251350;PB;1;EMAP-R;Santana de Mangueira
251370;PB;2;EMAD I, EMAP;Santa Rita
251390;PB;1;EMAD II;São Bento
251394;PB;1;EMAP-R;São Domingos do Cariri
251430;PB;1;EMAP-R;São José de Caiana
251440;PB;1;EMAP-R;São José de Espinharas
251445;PB;1;EMAP-R;São José dos Ramos
251450;PB;2;EMAD II, EMAP;São José de Piranhas
251455;PB;1;EMAP-R;São José de Princesa
251470;PB;1;EMAP-R;São José do Sabugi
251530;PB;2;EMAD I, EMAP;Sapé
251550;PB;1;EMAP-R;Serra Branca
251570;PB;1;EMAP-R;Serra Grande
251593;PB;1;EMAP-R;Sertãozinho
251600;PB;1;EMAD II;Solânea
251620;PB;2;EMAD I, EMAP;Sousa
251640;PB;1;EMAP-R;Tacima
251660;PB;2;EMAD II, EMAP;Tavares
251670;PB;2;EMAD II, EMAP;Teixeira
251690;PB;2;EMAD II, EMAP;Uiraúna
251720;PB;1;EMAP-R;Vieirópolis
