CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
220010;PI;1;EMAP-R;Agricolândia
220025;PI;1;EMAP-R;Alagoinha do Piauí
220050;PI;1;EMAP-R;Amarante
220060;PI;1;EMAP-R;Angical do Piauí
220070;PI;1;EMAP-R;Anísio de Abreu
220090;PI;1;EMAP-R;Aroazes
220105;PI;1;EMAP-R;Assunção do Piauí
220120;PI;2;EMAD I, EMAP;Barras
220190;PI;2;EMAD II, EMAP;Bom Jesus
220196;PI;1;EMAP-R;Brasileira
220220;PI;2;EMAD I, EMAP;Campo Maior
220230;PI;2;EMAD II, EMAP;Canto do Buriti
220250;PI;1;EMAP-R;Caracol
220270;PI;1;EMAD II;Cocal
220310;PI;2;EMAD II, EMAP;Cristino Castro
220330;PI;1;EMAP-R;Demerval Lobão
220335;PI;1;EMAP-R;Dirceu Arcoverde
220345;PI;1;EMAP-R;Dom Inocêncio
220370;PI;2;EMAD II, EMAP;Esperantina
220375;PI;1;EMAP-R;Fartura do Piauí
220390;PI;2;EMAD I, EMAP;Floriano
220455;PI;1;EMAP-R;Guaribas
220465;PI;1;EMAP-R;Ilha Grande
220510;PI;1;EMAP-R;Itaueira
220525;PI;1;EMAP-R;Jardim do Mulato
220540;PI;1;EMAP-R;Joaquim Pires
220550;PI;2;EMAD II, EMAP;José de Freitas
220554;PI;1;EMAP-R;Lagoinha do Piauí
220557;PI;1;EMAP-R;Lagoa de São Francisco
220558;PI;1;EMAP-R;Lagoa do Piauí
220570;PI;2;EMAD II, EMAP;Luís Correia
220635;PI;1;EMAP-R;Milton Brandão
220695;PI;1;EMAP-R;Novo Santo Antônio
220700;PI;2;EMAD II, EMAP;Oeiras
220730;PI;1;EMAP-R;Paes Landim
220750;PI;1;EMAP-R;Palmeirais
220775;PI;1;EMAP-R;Passagem Franca do Piauí
220790;PI;2;EMAD II, EMAP;Pedro II
220820;PI;2;EMAD II, EMAP;Pio IX
220840;PI;2;EMAD I, EMAP;Piripiri
220865;PI;1;EMAP-R;Queimada Nova
220880;PI;1;EMAP-R;Regeneração
220955;PI;1;EMAP-R;São Braz do Piauí
220985;PI;1;EMAP-R;São João da Canabrava
220990;PI;1;EMAP-R;São João da Serra
221000;PI;2;EMAD II, EMAP;São João do Piauí
221050;PI;1;EMAP-R;São Pedro do Piauí
221060;PI;2;EMAD II, EMAP;São Raimundo Nonato
221080;PI;1;EMAP-R;Simplício Mendes
221100;PI;3;EMAD I, EMAP;Teresina
221110;PI;2;EMAD I, EMAP;União
221130;PI;2;EMAD II, EMAP;Valença do Piauí
221140;PI;1;EMAP-R;Várzea Grande
