CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
410110;PR;2;EMAD II, EMAP;Andirá
410150;PR;1;EMAD I;Arapongas
410210;PR;2;EMAD II, EMAP;Astorga
410370;PR;1;EMAD I;Cambé
410430;PR;1;EMAD I;Campo Mourão
410450;PR;2;EMAD II, EMAP;Capanema
410480;PR;5;EMAD I, EMAP;Cascavel
410540;PR;1;EMAD II;Chopinzinho
410550;PR;2;EMAD I, EMAP;Cianorte
410630;PR;1;EMAD II;Corbélia
410650;PR;1;EMAD II;Coronel Vivida
410690;PR;22;EMAD I, EMAP;Curitiba
410765;PR;1;EMAD I;Fazenda Rio Grande
410830;PR;4;EMAD I, EMAP;Foz do Iguaçu
410840;PR;1;EMAD I;Francisco Beltrão
410860;PR;2;EMAD II, EMAP;Goioerê
410940;PR;3;EMAD I, EMAP;Guarapuava
410965;PR;1;EMAP-R;Honório Serpa
411370;PR;4;EMAD I, EMAP;Londrina
411460;PR;2;EMAD I, EMAP;Marechal Cândido Rondon
411520;PR;3;EMAD I, EMAP;Maringá
411770;PR;2;EMAD II, EMAP;Palmeira
411790;PR;2;EMAD II, EMAP;Palotina
411840;PR;1;EMAD I;Paranavaí
411915;PR;1;EMAD I;Pinhais
411990;PR;2;EMAD I, EMAP;Ponta Grossa
412090;PR;1;EMAD II;Quedas do Iguaçu
412240;PR;1;EMAD I;Rolândia
412405;PR;2;EMAD II, EMAP;Santa Terezinha de Itaipu
412440;PR;2;EMAD II, EMAP;Santo Antônio do Sudoeste
412550;PR;5;EMAD I, EMAD II, EMAP;São José dos Pinhais
412665;PR;1;EMAP-R;Sulina
412690;PR;1;EMAP-R;Tapira
412770;PR;2;EMAD I, EMAP;Toledo
412780;PR;1;EMAP-R;Tomazina
412800;PR;2;EMAD II, EMAP;Ubiratã
