SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1671774;RJ;Sudeste;EMAD I;False;330350
1671782;RJ;Sudeste;EMAD I;True;330350
1672150;RJ;Sudeste;EMAD I;True;330350
2494035;RJ;Sudeste;EMAP-R;True;330280
2507889;RJ;Sudeste;EMAD II;True;330025
1646478;RJ;Sudeste;EMAD I;False;330270
1709291;RJ;Sudeste;EMAD I;True;330270
2510480;RJ;Sudeste;EMAD II;True;330060
2332442;RJ;Sudeste;EMAD I;False;330610
2530767;RJ;Sudeste;EMAD I;False;330455
2440792;RJ;Sudeste;EMAP;True;330580
2533081;RJ;Sudeste;EMAD I;False;330023
1709755;RJ;Sudeste;EMAP;True;330270
1480170;RJ;Sudeste;EMAP;True;330600
1480189;RJ;Sudeste;EMAD I;False;330600
1619829;RJ;Sudeste;EMAD I;False;330390
1619845;RJ;Sudeste;EMAP;True;330390
1682148;RJ;Sudeste;EMAD I;True;330370
1710117;RJ;Sudeste;EMAD II;True;330620
1710125;RJ;Sudeste;EMAP;True;330620
2229323;RJ;Sudeste;EMAP;True;330045
308374;RJ;Sudeste;EMAD I;False;330455
1708473;RJ;Sudeste;EMAP;True;330190
1709232;RJ;Sudeste;EMAD I;False;330360
1709240;RJ;Sudeste;EMAP;True;330360
1469037;RJ;Sudeste;EMAP;True;330170
1580353;RJ;Sudeste;EMAD I;False;330170
310409;RJ;Sudeste;EMAP;True;330455
1474278;RJ;Sudeste;EMAD I;True;330340
1594524;RJ;Sudeste;EMAP;True;330340
1481959;RJ;Sudeste;EMAD I;True;330510
2274027;RJ;Sudeste;EMAD I;False;330455
1566105;RJ;Sudeste;EMAD II;True;330395
310379;RJ;Sudeste;EMAD I;False;330455
2539152;RJ;Sudeste;EMAD I;False;330270
2461625;RJ;Sudeste;EMAD I;False;330455
2461633;RJ;Sudeste;EMAD I;True;330455
2461668;RJ;Sudeste;EMAP;True;330455
2461676;RJ;Sudeste;EMAD I;True;330455
1493671;RJ;Sudeste;EMAD I;False;330040
1682024;RJ;Sudeste;EMAD I;False;330190
1708465;RJ;Sudeste;EMAD I;False;330190
2315610;RJ;Sudeste;EMAD I;False;330580
310417;RJ;Sudeste;EMAD I;False;330455
1469797;RJ;Sudeste;EMAD I;False;330490
2251582;RJ;Sudeste;EMAD I;False;330190
1522892;RJ;Sudeste;EMAP;True;330285
1522906;RJ;Sudeste;EMAD I;True;330285
1522914;RJ;Sudeste;EMAD I;True;330285
2286491;RJ;Sudeste;EMAD II;True;330400
1497804;RJ;Sudeste;EMAP;True;330400
2485672;RJ;Sudeste;EMAD I;True;330520
1480774;RJ;Sudeste;EMAD I;False;330010
1524690;RJ;Sudeste;EMAD II;True;330225
300179;RJ;Sudeste;EMAD I;True;330430
2180286;RJ;Sudeste;EMAD I;True;330220
2180308;RJ;Sudeste;EMAP;True;330220
1479911;RJ;Sudeste;EMAD I;False;330350
1479938;RJ;Sudeste;EMAP;False;330350
1519166;RJ;Sudeste;EMAD I;True;330350
1469673;RJ;Sudeste;EMAD I;True;330490
295469;RJ;Sudeste;EMAD I;False;330320
295477;RJ;Sudeste;EMAP;True;330320
2179849;RJ;Sudeste;EMAD I;True;330070
290289;RJ;Sudeste;EMAD I;True;330100
308420;RJ;Sudeste;EMAD I;False;330455
1481827;RJ;Sudeste;EMAD I;True;330510
1619802;RJ;Sudeste;EMAD I;True;330390
1668803;RJ;Sudeste;EMAD I;True;330350
1668013;RJ;Sudeste;EMAP;False;330350
1670018;RJ;Sudeste;EMAD I;False;330350
1667963;RJ;Sudeste;EMAP;False;330350
1671065;RJ;Sudeste;EMAD I;True;330350
1637061;RJ;Sudeste;EMAD I;True;330520
1637088;RJ;Sudeste;EMAP;True;330520
2139057;RJ;Sudeste;EMAP;True;330240
310182;RJ;Sudeste;EMAD I;False;330455
1538578;RJ;Sudeste;EMAP;True;330225
1479164;RJ;Sudeste;EMAD I;True;330490
1585584;RJ;Sudeste;EMAD I;True;330045
1481940;RJ;Sudeste;EMAD I;True;330510
1526650;RJ;Sudeste;EMAP;True;330227
1526677;RJ;Sudeste;EMAD I;False;330227
1469762;RJ;Sudeste;EMAP;True;330490
2229994;RJ;Sudeste;EMAD I;True;330250
1469754;RJ;Sudeste;EMAP;True;330490
1613707;RJ;Sudeste;EMAD I;False;330455
2169649;RJ;Sudeste;EMAD II;True;330575
300160;RJ;Sudeste;EMAP;False;330430
2236710;RJ;Sudeste;EMAD I;True;330455
2177862;RJ;Sudeste;EMAD I;True;330070
2177870;RJ;Sudeste;EMAP;True;330070
288713;RJ;Sudeste;EMAD I;False;330040
290378;RJ;Sudeste;EMAD I;True;330100
1469029;RJ;Sudeste;EMAD I;False;330170
2215691;RJ;Sudeste;EMAP;True;330250
290351;RJ;Sudeste;EMAP;True;330100
1619837;RJ;Sudeste;EMAD I;False;330390
2131706;RJ;Sudeste;EMAD II;True;330550
301248;RJ;Sudeste;EMAD I;False;330455
310395;RJ;Sudeste;EMAD I;False;330455
2230046;RJ;Sudeste;EMAD I;True;330250
310204;RJ;Sudeste;EMAP;True;330455
1470299;RJ;Sudeste;EMAD I;False;330490
1469665;RJ;Sudeste;EMAD I;False;330490
1617117;RJ;Sudeste;EMAD I;True;330045
1617125;RJ;Sudeste;EMAP;True;330045
1469622;RJ;Sudeste;EMAD I;True;330490
1469924;RJ;Sudeste;EMAP;True;330490
1469789;RJ;Sudeste;EMAD I;False;330490
1469932;RJ;Sudeste;EMAP;True;330490
1550438;RJ;Sudeste;EMAD I;False;330420
1550446;RJ;Sudeste;EMAP;True;330420
292478;RJ;Sudeste;EMAD I;True;330200
1480618;RJ;Sudeste;EMAP;True;330200
310425;RJ;Sudeste;EMAD I;False;330455
1535943;RJ;Sudeste;EMAD I;True;330045
1477285;RJ;Sudeste;EMAD I;True;330010
1477390;RJ;Sudeste;EMAP;False;330010
1669648;RJ;Sudeste;EMAD I;False;330380
310387;RJ;Sudeste;EMAP;True;330455
308382;RJ;Sudeste;EMAP;True;330455
308366;RJ;Sudeste;EMAD I;False;330455
1585568;RJ;Sudeste;EMAD I;True;330045
1481800;RJ;Sudeste;EMAP;True;330510
1481932;RJ;Sudeste;EMAD I;True;330510
1481819;RJ;Sudeste;EMAP;True;330510
1472801;RJ;Sudeste;EMAD II;False;330560
1472925;RJ;Sudeste;EMAP;False;330560
290343;RJ;Sudeste;EMAD I;True;330100
2304872;RJ;Sudeste;EMAD I;True;330185
1470280;RJ;Sudeste;EMAD I;False;330490
2321432;RJ;Sudeste;EMAD I;True;330630
2321440;RJ;Sudeste;EMAD I;False;330630
2321459;RJ;Sudeste;EMAP;True;330630
