SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1677489;RN;Nordeste;EMAD II;True;240360
1511378;RN;Nordeste;EMAD I;True;240325
109223;RN;Nordeste;EMAP;True;240325
2510375;RN;Nordeste;EMAP;True;240220
2531127;RN;Nordeste;EMAD II;True;240110
2530449;RN;Nordeste;EMAP-R;False;240050
1465465;RN;Nordeste;EMAD I;False;240810
113751;RN;Nordeste;EMAD I;False;240810
113778;RN;Nordeste;EMAP;True;240810
1505165;RN;Nordeste;EMAD I;False;241220
1505203;RN;Nordeste;EMAP;True;241220
2536544;RN;Nordeste;EMAP-R;True;241330
2418207;RN;Nordeste;EMAD II;True;240820
2418215;RN;Nordeste;EMAP;True;240820
2422689;RN;Nordeste;EMAD I;False;240710
2490579;RN;Nordeste;EMAD I;True;240200
2323818;RN;Nordeste;EMAP;True;240260
2444356;RN;Nordeste;EMAP;False;240710
2489880;RN;Nordeste;EMAD I;True;240310
113263;RN;Nordeste;EMAD I;False;240810
2465124;RN;Nordeste;EMAD II;True;240220
2258242;RN;Nordeste;EMAD I;True;240260
1675842;RN;Nordeste;EMAD II;True;240420
2229676;RN;Nordeste;EMAP;True;240940
2229536;RN;Nordeste;EMAD II;True;240940
112925;RN;Nordeste;EMAD I;False;240810
112933;RN;Nordeste;EMAP;True;240810
2206978;RN;Nordeste;EMAD II;True;241150
1618598;RN;Nordeste;EMAP;True;240800
1618490;RN;Nordeste;EMAD I;True;240800
1602888;RN;Nordeste;EMAD II;True;241440
1677314;RN;Nordeste;EMAD II;True;240780
1502867;RN;Nordeste;EMAD I;True;240020
1502875;RN;Nordeste;EMAP;True;240020
1675834;RN;Nordeste;EMAP;True;240420
1602896;RN;Nordeste;EMAP;True;241440
2224313;RN;Nordeste;EMAD II;True;241260
2237687;RN;Nordeste;EMAP;True;241150
2201372;RN;Nordeste;EMAP;True;240830
1677594;RN;Nordeste;EMAD II;True;240830
2202484;RN;Nordeste;EMAD II;False;241120
113255;RN;Nordeste;EMAD I;False;240810
113271;RN;Nordeste;EMAP;True;240810
1575589;RN;Nordeste;EMAD II;True;240890
1575597;RN;Nordeste;EMAP;True;240890
2354845;RN;Nordeste;EMAP;True;240780
2425017;RN;Nordeste;EMAD II;True;240580
109231;RN;Nordeste;EMAD I;True;240325
