SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
2492946;RO;Norte;EMAP;True;110040
1477412;RO;Norte;EMAD I;False;110020
2536056;RO;Norte;EMAP;False;110045
2533545;RO;Norte;EMAD II;True;110045
1637738;RO;Norte;EMAD I;False;110012
1477676;RO;Norte;EMAD I;True;110020
2493810;RO;Norte;EMAD II;False;110040
2444909;RO;Norte;EMAD I;False;110020
1480979;RO;Norte;EMAP;True;110020
1477331;RO;Norte;EMAD I;False;110020
1670352;RO;Norte;EMAD I;False;110011
2992;RO;Norte;EMAD I;True;110030
3018;RO;Norte;EMAP;True;110030
1490214;RO;Norte;EMAP;True;110002
1490192;RO;Norte;EMAD I;True;110002
2374234;RO;Norte;EMAP;False;110037
