CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
430087;RS;1;EMAP-R;Araricá
430160;RS;1;EMAD I;Bagé
430210;RS;2;EMAD I, EMAP;Bento Gonçalves
430390;RS;2;EMAD I, EMAP;Campo Bom
430440;RS;1;EMAD I;Canela
430460;RS;3;EMAD I, EMAP;Canoas
430463;RS;1;EMAD I;Capão da Canoa
430466;RS;1;EMAD II;Capão do Leão
430510;RS;1;EMAD I;Caxias do Sul
430535;RS;1;EMAD II;Charqueadas
430597;RS;1;EMAP;Coxilha
430660;RS;1;EMAD II;Dom Pedrito
430676;RS;1;EMAD I;Eldorado do Sul
430700;RS;1;EMAD I;Erechim
430750;RS;1;EMAD II;Espumoso
430760;RS;2;EMAD I, EMAP;Estância Velha
430770;RS;1;EMAD I;Esteio
430910;RS;1;EMAD I;Gramado
430930;RS;1;EMAD I;Guaíba
430940;RS;2;EMAD II, EMAP;Guaporé
431033;RS;1;EMAD II;Imbé
431240;RS;2;EMAD I, EMAP;Montenegro
431337;RS;1;EMAD II;Nova Santa Rita
431340;RS;3;EMAD I, EMAP;Novo Hamburgo
431405;RS;1;EMAD I;Parobé
431440;RS;6;EMAD I, EMAP;Pelotas
431450;RS;1;EMAD II;Pinheiro Machado
431490;RS;21;EMAD I, EMAP;Porto Alegre
431530;RS;1;EMAD II;Quaraí
431570;RS;1;EMAD II;Rio Pardo
431680;RS;2;EMAD I, EMAP;Santa Cruz do Sul
431720;RS;1;EMAD I;Santa Rosa
431760;RS;1;EMAD I;Santo Antônio da Patrulha
431800;RS;1;EMAD I;São Borja
431850;RS;1;EMAD II;São José do Norte
431870;RS;1;EMAD I;São Leopoldo
431950;RS;1;EMAD II;São Sebastião do Caí
432000;RS;1;EMAD I;Sapucaia do Sul
432120;RS;1;EMAD I;Taquara
432160;RS;1;EMAD I;Tramandaí
432260;RS;2;EMAD I, EMAP;Venâncio Aires
432300;RS;2;EMAD I, EMAP;Viamão
432380;RS;1;EMAP-R;Xangri-lá
