CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
280020;SE;2;EMAD II, EMAP;Aquidabã
280030;SE;4;EMAD I, EMAP;Aracaju
280067;SE;2;EMAD II, EMAP;Boquim
280120;SE;2;EMAD II, EMAP;Canindé de São Francisco
280130;SE;2;EMAD II, EMAP;Capela
280170;SE;1;EMAP-R;Cristinápolis
280210;SE;1;EMAD I;Estância
280290;SE;3;EMAD I, EMAP;Itabaiana
280300;SE;2;EMAD I, EMAP;Itabaianinha
280320;SE;2;EMAD II, EMAP;Itaporanga d'Ajuda
280330;SE;1;EMAP-R;Japaratuba
280350;SE;2;EMAD I, EMAP;Lagarto
280360;SE;2;EMAD II, EMAP;Laranjeiras
280370;SE;1;EMAP-R;Macambira
280445;SE;1;EMAP-R;Nossa Senhora Aparecida
280450;SE;2;EMAD II, EMAP;Nossa Senhora da Glória
280460;SE;2;EMAD II, EMAP;Nossa Senhora das Dores
280480;SE;3;EMAD I, EMAP;Nossa Senhora do Socorro
280540;SE;2;EMAD II, EMAP;Poço Redondo
280550;SE;2;EMAD II, EMAP;Poço Verde
280560;SE;2;EMAD II, EMAP;Porto da Folha
280600;SE;1;EMAP-R;Ribeirópolis
280620;SE;2;EMAD II, EMAP;Salgado
280670;SE;2;EMAD I, EMAP;São Cristóvão
280710;SE;2;EMAD I, EMAP;Simão Dias
280740;SE;2;EMAD I, EMAP;Tobias Barreto
