SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME;CO_MUNICIPIO
1527339;SP;Sudeste;EMAD I;False;352050
367907;SP;Sudeste;EMAP;True;355030
1697595;SP;Sudeste;EMAD I;False;354340
2192500;SP;Sudeste;EMAD I;True;354340
2192594;SP;Sudeste;EMAP;True;350950
1616161;SP;Sudeste;EMAD II;True;353420
2156202;SP;Sudeste;EMAD I;False;351060
349127;SP;Sudeste;EMAD I;True;354640
349119;SP;Sudeste;EMAP;True;354640
2255766;SP;Sudeste;EMAD I;True;351518
2255758;SP;Sudeste;EMAP;True;351518
1485865;SP;Sudeste;EMAD I;False;354780
1616072;SP;Sudeste;EMAD I;True;352730
1616129;SP;Sudeste;EMAP;True;352730
1477455;SP;Sudeste;EMAD I;True;355280
1477463;SP;Sudeste;EMAP;True;355280
1606271;SP;Sudeste;EMAD I;False;355280
1619934;SP;Sudeste;EMAD I;False;355030
1509276;SP;Sudeste;EMAD I;False;355030
334839;SP;Sudeste;EMAD I;False;352310
334847;SP;Sudeste;EMAP;True;352310
1571400;SP;Sudeste;EMAD II;True;353300
2178915;SP;Sudeste;EMAD I;False;351500
2528533;SP;Sudeste;EMAD II;True;355160
1711113;SP;Sudeste;EMAP;True;350850
1711105;SP;Sudeste;EMAD I;True;350850
2504464;SP;Sudeste;EMAP;True;354800
1549855;SP;Sudeste;EMAD I;False;355030
2539527;SP;Sudeste;EMAP;True;353870
2537737;SP;Sudeste;EMAP-R;True;354710
2534916;SP;Sudeste;EMAP-R;True;350080
1595954;SP;Sudeste;EMAD I;False;355030
1524054;SP;Sudeste;EMAD I;False;355220
323667;SP;Sudeste;EMAD I;True;350950
2541211;SP;Sudeste;EMAP-R;False;353480
1597078;SP;Sudeste;EMAD I;False;355030
1597094;SP;Sudeste;EMAD I;False;355030
2333864;SP;Sudeste;EMAD I;False;355030
2533375;SP;Sudeste;EMAP-R;True;351580
2523949;SP;Sudeste;EMAP-R;True;355580
1475894;SP;Sudeste;EMAD I;False;355030
2536617;SP;Sudeste;EMAD I;True;351350
1591207;SP;Sudeste;EMAD I;True;355030
2538385;SP;Sudeste;EMAD I;True;353550
2253402;SP;Sudeste;EMAD I;False;355650
2533901;SP;Sudeste;EMAP-R;False;354830
2250217;SP;Sudeste;EMAD II;True;352620
2531755;SP;Sudeste;EMAP-R;True;352060
2536994;SP;Sudeste;EMAP-R;False;353520
2525828;SP;Sudeste;EMAP-R;True;352910
2536986;SP;Sudeste;EMAD II;False;350250
1511769;SP;Sudeste;EMAD I;False;355220
1483870;SP;Sudeste;EMAD I;False;354780
1486039;SP;Sudeste;EMAD I;True;352400
2275899;SP;Sudeste;EMAD I;False;354730
1603051;SP;Sudeste;EMAD I;False;355060
1549251;SP;Sudeste;EMAD I;True;352390
1479385;SP;Sudeste;EMAP;True;355030
330396;SP;Sudeste;EMAD I;True;351870
1589105;SP;Sudeste;EMAD I;True;350570
1589067;SP;Sudeste;EMAP;True;350570
1640615;SP;Sudeste;EMAP;True;352210
1531824;SP;Sudeste;EMAP;True;355030
1486802;SP;Sudeste;EMAD I;False;350410
1577123;SP;Sudeste;EMAP;True;350410
2287072;SP;Sudeste;EMAD I;True;351380
2287099;SP;Sudeste;EMAP;True;351380
356816;SP;Sudeste;EMAD I;False;355030
1715232;SP;Sudeste;EMAD I;False;353870
1695827;SP;Sudeste;EMAD I;False;355030
1669923;SP;Sudeste;EMAD I;True;352230
2264358;SP;Sudeste;EMAP;True;351300
348341;SP;Sudeste;EMAD I;True;354390
348333;SP;Sudeste;EMAP;True;354390
1537288;SP;Sudeste;EMAD I;True;355170
1533657;SP;Sudeste;EMAD I;False;352510
1533851;SP;Sudeste;EMAD I;False;352440
368164;SP;Sudeste;EMAP;True;355030
1528122;SP;Sudeste;EMAD I;True;355620
1528130;SP;Sudeste;EMAP;True;355620
2264420;SP;Sudeste;EMAP;True;351300
2303132;SP;Sudeste;EMAD I;False;350950
1584731;SP;Sudeste;EMAD I;False;355030
1699350;SP;Sudeste;EMAD I;False;355030
1663674;SP;Sudeste;EMAD I;False;355030
2287013;SP;Sudeste;EMAD I;False;354530
347566;SP;Sudeste;EMAD I;False;354340
365270;SP;Sudeste;EMAD I;False;355030
1689835;SP;Sudeste;EMAD I;False;355030
1697226;SP;Sudeste;EMAD I;False;352590
1697234;SP;Sudeste;EMAP;True;352590
1710737;SP;Sudeste;EMAD I;False;352590
1597051;SP;Sudeste;EMAP;True;355030
316857;SP;Sudeste;EMAD I;True;350160
316873;SP;Sudeste;EMAD I;True;350160
316865;SP;Sudeste;EMAP;True;350160
2156628;SP;Sudeste;EMAD I;True;355030
2366355;SP;Sudeste;EMAP;True;355030
2264129;SP;Sudeste;EMAD I;False;351300
1691821;SP;Sudeste;EMAD I;False;353870
2520133;SP;Sudeste;EMAD I;False;353650
2520141;SP;Sudeste;EMAP;True;353650
2402998;SP;Sudeste;EMAP;True;354220
2517388;SP;Sudeste;EMAD I;True;355030
2428970;SP;Sudeste;EMAD I;False;355220
2488531;SP;Sudeste;EMAD II;False;353860
2532913;SP;Sudeste;EMAD II;True;350580
2365367;SP;Sudeste;EMAP;True;355060
323039;SP;Sudeste;EMAD I;True;350950
1466003;SP;Sudeste;EMAD I;False;355030
318981;SP;Sudeste;EMAD I;True;350390
369071;SP;Sudeste;EMAD I;False;355030
2243237;SP;Sudeste;EMAD I;False;352900
2320606;SP;Sudeste;EMAP;True;355030
367877;SP;Sudeste;EMAD I;True;355030
2408864;SP;Sudeste;EMAP;True;355030
2408856;SP;Sudeste;EMAD I;True;355030
2467038;SP;Sudeste;EMAP;True;355030
368121;SP;Sudeste;EMAD I;True;355030
1583417;SP;Sudeste;EMAD I;False;355220
1576283;SP;Sudeste;EMAD I;True;354870
2451298;SP;Sudeste;EMAD II;True;353580
1621718;SP;Sudeste;EMAP;True;355030
2492024;SP;Sudeste;EMAP-R;True;354995
2287080;SP;Sudeste;EMAD I;True;351380
1663569;SP;Sudeste;EMAD I;False;355030
2409062;SP;Sudeste;EMAD I;True;353070
2501740;SP;Sudeste;EMAD II;False;352030
2483777;SP;Sudeste;EMAD I;False;351840
2512254;SP;Sudeste;EMAP-R;True;354170
2460610;SP;Sudeste;EMAD I;False;354130
342009;SP;Sudeste;EMAD I;False;353440
340189;SP;Sudeste;EMAD I;True;353050
340170;SP;Sudeste;EMAP;True;353050
1571451;SP;Sudeste;EMAD I;True;350600
1608436;SP;Sudeste;EMAD I;False;350600
1669184;SP;Sudeste;EMAP;True;350600
