CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
350080;SP;1;EMAP-R;Alfredo Marcondes
350100;SP;1;EMAD II;Altinópolis
350160;SP;3;EMAD I, EMAP;Americana
350170;SP;2;EMAD II, EMAP;Américo Brasiliense
350190;SP;1;EMAD I;Amparo
350210;SP;2;EMAD I, EMAP;Andradina
350250;SP;1;EMAD II;Aparecida
350320;SP;1;EMAD I;Araraquara
350330;SP;2;EMAD I, EMAP;Araras
350390;SP;1;EMAD I;Arujá
350400;SP;1;EMAD I;Assis
350410;SP;2;EMAD I, EMAP;Atibaia
350460;SP;1;EMAD II;Bady Bassitt
350550;SP;2;EMAD I, EMAP;Barretos
350560;SP;2;EMAD II, EMAP;Barrinha
350570;SP;4;EMAD I, EMAP;Barueri
350580;SP;1;EMAD II;Bastos
350590;SP;2;EMAD I, EMAP;Batatais
350600;SP;5;EMAD I, EMAP;Bauru
350635;SP;1;EMAD I;Bertioga
350660;SP;2;EMAD II, EMAP;Biritiba Mirim
350700;SP;2;EMAD I, EMAP;Boituva
350760;SP;2;EMAD I, EMAP;Bragança Paulista
350780;SP;2;EMAD II, EMAP;Brodowski
350840;SP;2;EMAD I, EMAP;Cabreúva
350850;SP;2;EMAD I, EMAP;Caçapava
350900;SP;2;EMAD I, EMAP;Caieiras
350950;SP;15;EMAD I, EMAP;Campinas
350960;SP;2;EMAD I, EMAP;Campo Limpo Paulista
351050;SP;1;EMAD I;Caraguatatuba
351060;SP;3;EMAD I, EMAP;Carapicuíba
351100;SP;2;EMAD II, EMAP;Castilho
351110;SP;2;EMAD I, EMAP;Catanduva
351280;SP;2;EMAD I, EMAP;Cosmópolis
351300;SP;4;EMAD I, EMAP;Cotia
351340;SP;1;EMAD I;Cruzeiro
351350;SP;1;EMAD I;Cubatão
351380;SP;3;EMAD I, EMAP;Diadema
351500;SP;4;EMAD I, EMAP;Embu das Artes
351510;SP;2;EMAD I, EMAP;Embu-Guaçu
351518;SP;2;EMAD I, EMAP;Espírito Santo do Pinhal
351550;SP;2;EMAD I, EMAP;Fernandópolis
351570;SP;3;EMAD I, EMAP;Ferraz de Vasconcelos
351580;SP;1;EMAP-R;Flora Rica
351620;SP;2;EMAD I, EMAP;Franca
351640;SP;2;EMAD I, EMAP;Franco da Rocha
351670;SP;2;EMAD I, EMAP;Garça
351750;SP;1;EMAD II;Guapiaçu
351770;SP;2;EMAD II, EMAP;Guará
351830;SP;2;EMAD II, EMAP;Guararema
351840;SP;1;EMAD I;Guaratinguetá
351870;SP;3;EMAD I, EMAP;Guarujá
351880;SP;5;EMAD I, EMAP;Guarulhos
351907;SP;3;EMAD I, EMAP;Hortolândia
352010;SP;1;EMAD II;Igarapava
352030;SP;1;EMAD II;Iguape
352040;SP;2;EMAD II, EMAP;Ilhabela
352050;SP;3;EMAD I, EMAP;Indaiatuba
352060;SP;1;EMAP-R;Indiana
352100;SP;1;EMAD II;Iperó
352210;SP;2;EMAD I, EMAP;Itanhaém
352220;SP;1;EMAD I;Itapecerica da Serra
352230;SP;2;EMAD I, EMAP;Itapetininga
352240;SP;1;EMAD I;Itapeva
352250;SP;2;EMAD I;Itapevi
352310;SP;2;EMAD I, EMAP;Itaquaquecetuba
352390;SP;3;EMAD I, EMAP;Itu
352400;SP;1;EMAD I;Itupeva
352410;SP;2;EMAD I, EMAP;Ituverava
352430;SP;1;EMAD I;Jaboticabal
352440;SP;3;EMAD I, EMAP;Jacareí
352470;SP;2;EMAD I, EMAP;Jaguariúna
352510;SP;1;EMAD I;Jardinópolis
352590;SP;6;EMAD I, EMAP;Jundiaí
352620;SP;1;EMAD II;Juquitiba
352670;SP;2;EMAD I, EMAP;Leme
352690;SP;2;EMAD I, EMAP;Limeira
352710;SP;1;EMAD I;Lins
352730;SP;2;EMAD I, EMAP;Louveira
352840;SP;2;EMAD I, EMAP;Mairinque
352850;SP;2;EMAD I, EMAP;Mairiporã
352900;SP;3;EMAD I, EMAP;Marília
352910;SP;1;EMAP-R;Marinópolis
352940;SP;4;EMAD I, EMAP;Mauá
353050;SP;2;EMAD I, EMAP;Mococa
353060;SP;1;EMAD I;Mogi das Cruzes
353070;SP;1;EMAD I;Mogi Guaçu
353080;SP;2;EMAD I, EMAP;Mogi Mirim
353130;SP;2;EMAD I, EMAP;Monte Alto
353300;SP;1;EMAD II;Nova Granada
353350;SP;1;EMAD I;Novo Horizonte
353390;SP;2;EMAD I, EMAP;Olímpia
353420;SP;1;EMAD II;Orindiúva
353430;SP;2;EMAD I, EMAP;Orlândia
353440;SP;3;EMAD I, EMAP;Osasco
353470;SP;2;EMAD I, EMAP;Ourinhos
353480;SP;1;EMAP-R;Ouro Verde
353520;SP;1;EMAP-R;Palmeira d'Oeste
353550;SP;1;EMAD I;Paraguaçu Paulista
353580;SP;1;EMAD II;Paranapanema
353650;SP;2;EMAD I, EMAP;Paulínia
353760;SP;1;EMAD I;Peruíbe
353800;SP;1;EMAD I;Pindamonhangaba
353860;SP;1;EMAD II;Piracaia
353870;SP;6;EMAD I, EMAP;Piracicaba
353950;SP;2;EMAD II, EMAP;Pitangueiras
353980;SP;1;EMAD I;Poá
354020;SP;1;EMAD I;Pontal
354060;SP;1;EMAD I;Porto Feliz
354100;SP;1;EMAD I;Praia Grande
354130;SP;1;EMAD I;Presidente Epitácio
354170;SP;1;EMAP-R;Quatá
354220;SP;2;EMAD II, EMAP;Rancharia
354330;SP;1;EMAD I;Ribeirão Pires
354340;SP;7;EMAD I, EMAP;Ribeirão Preto
354390;SP;2;EMAD I, EMAP;Rio Claro
354520;SP;2;EMAD I, EMAP;Salto
354530;SP;1;EMAD I;Salto de Pirapora
354580;SP;2;EMAD I, EMAP;Santa Bárbara d'Oeste
354640;SP;2;EMAD I, EMAP;Santa Cruz do Rio Pardo
354710;SP;1;EMAP-R;Santa Mercedes
354730;SP;1;EMAD I;Santana de Parnaíba
354780;SP;10;EMAD I, EMAP;Santo André
354800;SP;2;EMAD II, EMAP;Santo Antônio de Posse
354830;SP;1;EMAP-R;Santo Expedito
354850;SP;8;EMAD I, EMAP;Santos
354870;SP;6;EMAD I, EMAP;São Bernardo do Campo
354880;SP;3;EMAD I, EMAP;São Caetano do Sul
354890;SP;3;EMAD I, EMAP;São Carlos
354910;SP;1;EMAD I;São João da Boa Vista
354940;SP;1;EMAD I;São Joaquim da Barra
354970;SP;2;EMAD I, EMAP;São José do Rio Pardo
354980;SP;7;EMAD I, EMAP;São José do Rio Preto
354995;SP;1;EMAP-R;São Lourenço da Serra
355030;SP;82;EMAD I, EMAP;São Paulo
355060;SP;2;EMAD I, EMAP;São Roque
355100;SP;4;EMAD I, EMAP;São Vicente
355150;SP;1;EMAD I;Serrana
355160;SP;1;EMAD II;Serra Negra
355170;SP;2;EMAD I, EMAP;Sertãozinho
355210;SP;2;EMAD II, EMAP;Socorro
355220;SP;7;EMAD I, EMAP;Sorocaba
355240;SP;2;EMAD I, EMAP;Sumaré
355250;SP;2;EMAD I, EMAP;Suzano
355280;SP;3;EMAD I, EMAP;Taboão da Serra
355370;SP;1;EMAD I;Taquaritinga
355400;SP;2;EMAD I, EMAP;Tatuí
355410;SP;1;EMAD I;Taubaté
355540;SP;1;EMAD I;Ubatuba
355580;SP;1;EMAP-R;Urânia
355620;SP;2;EMAD I, EMAP;Valinhos
355650;SP;1;EMAD I;Várzea Paulista
355670;SP;2;EMAD I, EMAP;Vinhedo
355700;SP;1;EMAD I;Votorantim
355710;SP;2;EMAD I, EMAP;Votuporanga
